DÉNOMINATION DE LA FORMATION POLITIQUE,"LOCALISATION
du siège"
100% ASNIERES,92600
"A GAUCHE, BESOIN D'OPTIMISME",75012
A STRASBOURG,67000
A TI'A PORINETIA - LE RASSEMBLEMENT DES POLYNÉSIENS,98713
ACTION ILE-DE-FRANCE,75016
ACTION SAVOIE PREMIÈRE,73000
ACTION TANK,78250
ADSAV ! LE PARTI DU PEUPLE BRETON,22000
AGIR AU QUOTIDIEN AVEC NICOLAS DUPONT-AIGNAN,91330
AGIR ENSEMBLE,95330
AGIR ENSEMBLE POUR LES LEVALLOISIENS,92301
AGIR PARIS - PARIS AU CENTRE,75018
AGIR POUR DEMAIN,81100
"AI'A.-API ""TERRE NOUVELLE""",98709
AIMER ANGERS,49024
AIMER AVON,77210
AIMER NANCY,54000
ALBERTVILLE RENOUVEAU,73200
ALLEZ LA FRANCE,75004
ALLIANCE CENTRISTE,75015
ALLIANCE POPULAIRE POUR LE CALAISIS,62100
ALLIANCE POUR LA SOUVERAINETÉ DE LA FRANCE,92100
ALLIANCE ROYALE,75008
ALLIANCE SOLIDAIRE DES FRANÇAIS DE L'ÉTRANGER,75008
ALTERNANCES PARISIENNES,75004
ALTERNATIVE DÉMOCRATIE SOCIALISME,87000
ALTERNATIVES DÉMOCRATIQUES,69440
"AMBITION, AUDACE ET AVENIR",54700
AMBITION CITOYENNE ET SOLIDAIRE POUR L'YONNE,89000
ANGOULÊME AMBITION,16000
ARCHIPEL DEMAIN,97500
ARGENTEUIL QUE NOUS AIMONS,95100
ARIAS 94,94310
ASNIÈRES DEBOUT,92600
ASSOCIATION 6ÈME UNION,75261
ASSOCIATION CONSTRUIRE L'AVENIR,78300
ASSOCIATION DE DÉFENSE DES SANARYENS,83110
ASSOCIATION DE PRÉFIGURATION DU MOUVEMENT CHANGER LA DONNE,13001
ASSOCIATION DE SOUTIEN À L'ACTION DE JEAN FRANÇOIS LAMOUR,75015
ASSOCIATION DE SOUTIEN À L'ACTION DE NICOLAS SARKOZY,75008
ASSOCIATION DE SOUTIEN À L'ACTION D'ÉRIC WOERTH,60300
ASSOCIATION DÉMOCRATIE ET LIBERTÉ,32500
ASSOCIATION DES AMIS DE ERIC CIOTTI,6300
ASSOCIATION DES BÂTISSEURS DE GUYANE,
ASSOCIATION DES COMMUNISTES UNITAIRES,93200
ASSOCIATION DES OBJECTEURS DE CROISSANCE,94170
ASSOCIATION DROITE DE FRANCE,75006
"ASSOCIATION FIERS DE  NOTRE VILLAGE, CHARLY 2014",69390
