DÉNOMINATION DE LA FORMATION POLITIQUE (1),"LOCALISATION
du siège"
GROUPEMENT    FRANCE-RÉUNION,97430
GUADELOUPE UNIE SOCIALISME ET RÉALITÉS ,97122
IDÉE FRANÇAISE (L’) ,78600
IDÉES-FORCE   ,92350
IDENTITÉ ET RÉPUBLIQUE,97435
ID-EST DES IDÉES À L’EST DE PARIS ,94130
IFRAP 2012 - MOUVEMENT POUR L’INFORMATION ET LA RESPONSABILISATION DES CANDIDATS,75009
INITIATIVE   RÉPUBLICAINE ,75020
"INITIATIVES POUR UNE DÉMOCRATIE EUROPÉENNE, ÉCONOMIQUE ET SOCIALE ",94350
ISÈRE EN MOUVEMENT (L’) ,38000
ISÈRE   PREMIÈRE ,38000
LIGUE COMMUNISTE RÉVOLUTIONNAIRE ,93100
LUTTE    OUVRIÈRE,93500
MAIZIÈRES   ENSEMBLE ,57280
MARS - GAUCHE RÉPUBLICAINE ,94550
MASSY POUR VOUS ,91300
MOUVEMENT CITOYEN DE LA RÉUNION,97410
MOUVEMENT CITOYEN RÉGIONAL NORD PAS DE CALAIS,62300
MOUVEMENT    CLÉROCRATIQUE ,26120
MOUVEMENT DE DÉCOLONISATION ET D’ÉMANCIPATION SOCIALE  ,97354
MOUVEMENT    DÉMOCRATE ,75007
MOUVEMENT DÉMOCRATIE ALSACIENNE,67300
MOUVEMENT DÉPARTEMENTALISTE MAHORAIS ,97615
MOUVEMENT   DES   RÉFORMATEURS,67130
MOUVEMENT DES SEINE-ET-MARNAIS ,77130
MOUVEMENT D’UNION DE GESTION COMMUNALE DE LA VILLE DE PLAN DE CUQUES ,13380
MOUVEMENT   ÉCOLOGISTE   INDÉPENDANT,2570
MOUVEMENT HOMMES-ANIMAUX-NATURE,6000
MOUVEMENT INDÉPENDANTISTE MARTINIQUAIS ,97200
MOUVEMENT INITIATIVE DÉMOCRATIQUE DE GAUCHE,2440
MOUVEMENT LA RÉUNION AUTREMENT,97490
MOUVEMENT LE ,97400
MOUVEMENT LIBERAL POPULAIRE ,97200
MOUVEMENT NATIONAL RÉPUBLICAIN,75015
MOUVEMENT POPULAIRE FRANCISCAIN ,97240
MOUVEMENT POUR LA FRANCE,75007
MOUVEMENT POUR UN RENOUVEAU POLITIQUE ,67000
MOUVEMENT RÉPUBLICAIN ET CITOYEN ,75012
MOUVEMENT SOCIAL ET LIBÉRAL DE NORMANDIE ,76000
MOUVEMENT   UNITAIRE   PROGRESSISTE,75006
NO Œ E TE NUNA’A ,98713
"NOFWAP, LA GUADELOUPE EN ACTION ",97110
NON À LA TURQUIE DANS L’EUROPE,75007
NOUVEAU PARTI ANTICAPITALISTE,93100
NOUVEL    OXYGÈNE ,43000
NOUVELLE     DONNE,69006
O PORINETIA TO TATOU AI’A ,98713
OBJECTIF    GUADELOUPE,97100
OSONS LE DYNAMISME POUR LOUVECIENNES (DIT OSONS),78430
PARIS     DEMAIN,75003
PARTI    ANTI-SIONISTE ,59760
PARTI   BLANC ,14000
PARTI   BONAPARTISTE ,20000
PARTI    BRETON,44420
PARTI    CHRÉTIEN-DÉMOCRATE,75008
PARTI COMMUNISTE FRANCAIS,75940
PARTI COMMUNISTE GUADELOUPÉEN,97169
PARTI COMMUNISTE MARTINIQUAIS ,97200
PARTI COMMUNISTE RÉUNIONNAIS,97420
PARTI   DE   GAUCHE,75011
PARTI DE LA FRANCE,78860
PARTI DE LA RÉSISTANCE,75020
PARTI EUROPE DÉMOCRATIE ESPÉRANTO FRANCE,75017
PARTI   GAULLISTE   (LE),97430
PARTI   LIBÉRAL   DÉMOCRATE,75002
PARTI NATIONAL EUROPÉEN,13777
PARTI   OUVRIER   INDÉPENDANT,75010
PARTI POPULISTE - LA RELÈVE NATIONALE,92400
PARTI POUR LA LIBÉRATION DE LA MARTINIQUE,97200
PARTI PROGRESSISTE DÉMOCRATIQUE GUADELOUPÉEN,97110
PARTI   PROGRESSISTE   MARTINIQUAIS,97200
PARTI    RADICAL,75001
PARTI RADICAL DE GAUCHE,75007
PARTI    RÉPUBLICAIN,75005
PARTI RÉPUBLICAIN CHRÉTIEN ,83210
PARTI    SOCIALISTE,75333
PARTI   SOCIALISTE   GUADELOUPÉEN,97129
PARTI SOCIALISTE GUYANAIS ,97300
PARTI SOCIALISTE RÉUNIONNAIS ,97490
PARTICIPATION    CITOYENNE ,69007
PARTICIPATION ET LIBERTÉ ,75009
PARTIT    OCCITAN,11000
PARTITU DI A NAZIONE CORSA,20000
PORINETIA    ORA,98716
POUR     L’AQUITAINE,33000
POUR     MULHOUSE,68100
POUR   PARIS ,75012
POUR PERTUIS AUTREMENT ,84120
POUR UN PARIS GAGNANT,75008
PRIMAIRE.ORG,29000
PRIORITÉ DÉMOCRATIE EN FRANCE,73600
PROGRESSISTES.FR (LES),75020
RAISMES À VENIR,59590
RASSEMBLEMENT DÉMOCRATIQUE POUR LA MARTINIQUE ,97200
RASSEMBLEMENT DES CITOYENS POUR LA RÉPUBLIQUE ,78000
RASSEMBLEMENT DES CONTRIBUABLES FRANÇAIS,27132
RASSEMBLEMENT POUR LA CALÉDONIE ,98845
RASSEMBLEMENT POUR LA DÉFENSE DES INTÉRÊTS DE LA 3ÈME   CIRCONSCRIPTION ,97129
RASSEMBLEMENT POUR LA FRANCE ET L’INDÉPENDANCE DE L’EUROPE,92200
RASSEMBLEMENT POUR LA SOLIDARITÉ ET LA DÉMOCRATIE,94800
RASSEMBLEMENT POUR L’ESSONNE ,91150
RASSEMBLEMENT   POUR   LEVALLOIS,92300
RASSEMBLEMENT POUR L’INDÉPENDANCE ET LA SOUVERAINETÉ DE LA FRANCE ,75362
RASSEMBLEMENT POUR UNE EUROPE ÉCOLOGISTE ,75010
RASSEMBLEMENT  UMP  (RASSEMBLEMENT  POUR  LA  CALÉDONIE DANS LA RÉPUBLIQUE),98845
RASSEMBLER   POUR   AGIR,95260
