Titre,Mandat parlementaire,Parti politique d'adhésion,Soutien
Françoise Cartron,Sénateur,Parti socialiste,N'a parrainé personne
Patrice Carvalho,Député,Parti Communiste Français,N'a parrainé personne
Luc Carvounas,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Christophe Castaner,Député,Parti socialiste,Parrainage à Emmanuel Macron
Joseph Castelli,Sénateur,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Laurent Cathala,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Yves Caullet,Député,Parti socialiste,Parrainage à Emmanuel Macron
Jean-Marie Cavada,Député Européen,Génération Citoyens,Parrainage à Emmanuel Macron
Christophe Cavard,Député,Union des Démocrates et des Ecologistes,Parrainage à Benoît Hamon
Caroline Cayeux,Sénateur,Les Républicains,Parrainage à François Fillon
Bernard Cazeau,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Yves Censi,Député,Les Républicains,Parrainage à François Fillon
Gérard César,Sénateur,Les Républicains,Parrainage à François Fillon
Nathalie Chabanne,Député,Parti socialiste,Parrainage à Benoît Hamon
Anne Chain-Larché,Sénateur,Les Républicains,Parrainage à François Fillon
Patrick Chaize,Sénateur,Les Républicains,Parrainage à François Fillon
Ary Chalus,Député,"Guadeloupe unie, socialisme et réalités",Parrainage à Emmanuel Macron
Guy Chambefort,Député,Parti socialiste,N'a parrainé personne
Jean-Paul Chanteguet,Député,Parti socialiste,Parrainage à Benoît Hamon
Marie-Anne Chapdelaine,Député,Parti socialiste,Parrainage à Benoît Hamon
Gérard Charasse,Député,Parti Radical de Gauche,N'a parrainé personne
Pierre Charon,Sénateur,Les Républicains,Parrainage à François Fillon
Gaby Charroux,Député,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Jérôme Chartier,Député,Les Républicains,Parrainage à François Fillon
André Chassaigne,Député,Parti Communiste Français,N'a parrainé personne
Daniel Chasseing,Sénateur,Les Républicains,Parrainage à Alain Juppé
Luc Chatel,Député,Les Républicains,Parrainage à François Fillon
