Titre,Mandat parlementaire,Parti politique d'adhésion,Soutien
Bruno Gollnisch,Député Européen,Front National,Parrainage à Marine Le Pen
Philippe Gomès,Député,UDI,Parrainage à François Fillon
Brigitte Gonthier-Maurin,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Gaëtan Gorce,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Jean-Pierre Gorges,Député,Les Républicains,Parrainage à Alexandre Jardin
Philippe Gosselin,Député,Les Républicains,Parrainage à François Fillon
Geneviève Gosselin-Fleury,Député,Parti socialiste,N'a parrainé personne
Pascale Got,Député,Parti socialiste,N'a parrainé personne
Marc Goua,Député,Parti socialiste,N'a parrainé personne
Philippe Goujon,Député,Les Républicains,Parrainage à François Fillon
Sylvie Goulard,Député Européen,Mouvement Démocrate (MoDEM),Parrainage à Emmanuel Macron
Nathalie Goulet,Sénateur,UDI,N'a parrainé personne
Jacqueline Gourault,Sénateur,Mouvement Démocrate (MoDEM),Parrainage à Emmanuel Macron
Linda Gourjade,Député,Parti socialiste,Parrainage à Benoît Hamon
Alain Gournac,Sénateur,Les Républicains,Parrainage à François Fillon
Sylvie Goy-Chavent,Sénateur,Parti Radical/UDI,N'a parrainé personne
Jean-Pierre Grand,Sénateur,Les Républicains,Parrainage à Alain Juppé
Laurent Grandguillaume,Député,Parti socialiste,N'a parrainé personne
Claude Greff,Député,Les Républicains,Parrainage à François Fillon
Jean Grellier,Député,Parti socialiste,N'a parrainé personne
Daniel Gremillet,Sénateur,Les Républicains,Parrainage à François Fillon
Nathalie Griesbeck,Député Européen,Mouvement Démocrate (MoDEM),Parrainage à Emmanuel Macron
François Grosdidier,Sénateur,Les Républicains,Parrainage à François Fillon
Jacques Grosperrin,Sénateur,Les Républicains,Parrainage à François Fillon
Françoise Grossetête,Député Européen,Les Républicains,Parrainage à François Fillon
Arlette Grosskost,Député,Les Républicains,Parrainage à François Fillon
Serge Grouard,Député,Les Républicains,Parrainage à François Fillon
Pascale Gruny,Sénateur,Les Républicains,Parrainage à François Fillon
Henri Guaino,Député,Les Républicains,Parrainage à Michèle Alliot-Marie
Françoise Guégot,Député,Les Républicains,Parrainage à François Fillon
Charles Guené,Sénateur,Les Républicains,Parrainage à François Fillon
Jean-Noël Guérini,Sénateur,Sans étiquette,N'a parrainé personne
Joël Guerriau,Sénateur,Nouveau Centre/UDI,N'a parrainé personne
Edith Gueugneau,Député,Divers gauche,N'a parrainé personne
Jean-Claude Guibal,Député,Les Républicains,Parrainage à François Fillon
Élisabeth Guigou,Député,Parti socialiste,Parrainage à Benoît Hamon
Sylvie Guillaume,Député Européen,Parti socialiste,Parrainage à Benoît Hamon
Didier Guillaume,Sénateur,Parti socialiste,N'a parrainé personne
Annie Guillemot,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Jean-Jacques Guillet,Député,Les Républicains,Parrainage à François Fillon
Christophe Guilloteau,Député,Les Républicains,Parrainage à François Fillon
Chantal Guittet,Député,Parti socialiste,Parrainage à Benoît Hamon
Meyer Habib,Député,UDI,Parrainage à François Fillon
David Habib,Député,Parti socialiste,N'a parrainé personne
Razzy Hammadi,Député,Parti socialiste,Parrainage à Benoît Hamon
Benoît Hamon,Député,Parti socialiste,N'a parrainé personne
Mathieu Hanotin,Député,Parti socialiste,Parrainage à Benoît Hamon
Claude Haut,Sénateur,Parti socialiste,N'a parrainé personne
Michel Heinrich,Député,Les Républicains,Parrainage à François Fillon
Michel Herbillon,Député,Les Républicains,Parrainage à François Fillon
Antoine Herth,Député,Les Républicains,N'a parrainé personne
Loïc Hervé,Sénateur,Nouveau Centre/UDI,Parrainage à Jean Lassalle
Odette Herviaux,Sénateur,Parti socialiste,N'a parrainé personne
Patrick Hetzel,Député,Les Républicains,Parrainage à François Fillon
Francis Hillmeyer,Député,Nouveau Centre/UDI,Parrainage à François Fillon
Gélita Hoarau,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Gilda Hobert,Député,Parti Radical de Gauche,N'a parrainé personne
Brice Hortefeux,Député Européen,Les Républicains,Parrainage à François Fillon
Philippe Houillon,Député,Les Républicains,Parrainage à François Fillon
Alain Houpert,Sénateur,Les Républicains,Parrainage à François Baroin
Robert Hue,Sénateur,Mouvement Des Progressistes,Parrainage à Emmanuel Macron
Guénhaël Huet,Député,Les Républicains,Parrainage à François Fillon
Joëlle Huillier,Député,Parti socialiste,N'a parrainé personne
Christiane Hummel,Sénateur,Les Républicains,Parrainage à François Fillon
Benoît Huré,Sénateur,Les Républicains,Parrainage à François Fillon
Jean-François Husson,Sénateur,Les Républicains,Parrainage à François Fillon
Christian Hutin,Député,République Moderne,Parrainage à Bastien Faudot
Sébastien Huyghe,Député,Les Républicains,N'a parrainé personne
Monique Iborra,Député,Sans étiquette,Parrainage à Emmanuel Macron
Corinne Imbert,Sénateur,Les Républicains,N'a parrainé personne
Françoise Imbert,Député,Parti socialiste,N'a parrainé personne
Michel Issindou,Député,Parti socialiste,Parrainage à Benoît Hamon
Christian Jacob,Député,Les Républicains,Parrainage à François Fillon
Denis Jacquat,Député,Les Républicains,Parrainage à François Fillon
Yannick Jadot,Député Européen,Europe Écologie Les Verts,Parrainage à Benoît Hamon
Jean-François Jalkh,Député Européen,Front National,Parrainage à Marine Le Pen
Eric Jalton,Député,Parti socialiste,Parrainage à Emmanuel Macron
Serge Janquin,Député,Parti socialiste,Parrainage à Benoît Hamon
Éric Jeansannetas,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Yves Jégo,Député,Parti Radical/UDI,N'a parrainé personne
Henri Jibrayel,Député,Parti socialiste,N'a parrainé personne
Sophie Joissains,Sénateur,Parti Radical/UDI,Parrainage à François Fillon
Eva Joly,Député Européen,Europe Écologie Les Verts,N'a parrainé personne
Romain Joron,Député,Parti socialiste,Parrainage à Benoît Hamon
Chantal Jouanno,Sénateur,UDI,Parrainage à François Fillon
Marc Joulaud,Député Européen,Les Républicains,Parrainage à François Fillon
Gisèle Jourda,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Mireille Jouve,Sénateur,Sans étiquette,N'a parrainé personne
Alain Joyandet,Sénateur,Les Républicains,Parrainage à François Fillon
Régis Juanico,Député,Parti socialiste,Parrainage à Benoît Hamon
Philippe Juvin,Député Européen,Les Républicains,Parrainage à François Fillon
Laurent Kalinowski,Député,Parti socialiste,Parrainage à Benoît Hamon
Philippe Kaltenbach,Sénateur,Sans étiquette,Parrainage à Benoît Hamon
Christiane Kammermann,Sénateur,Les Républicains,Parrainage à François Fillon
Antoine Karam,Sénateur,Parti socialiste guyanais,N'a parrainé personne
Marietta Karamanli,Député,Parti socialiste,Parrainage à Benoît Hamon
Roger Karoutchi,Sénateur,Les Républicains,Parrainage à François Fillon
Fabienne Keller,Sénateur,Les Républicains,Parrainage à Alain Juppé
Philippe Kemel,Député,Parti socialiste,Parrainage à Benoît Hamon
Guy-Dominique Kennel,Sénateur,Les Républicains,N'a parrainé personne
Claude Kern,Sénateur,Nouveau Centre/UDI,N'a parrainé personne
Christian Kert,Député,Les Républicains,Parrainage à François Fillon
Bariza Khiari,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Chaynesse Khirouni,Député,Parti socialiste,Parrainage à Benoît Hamon
Nathalie Kosciusko-Morizet,Député,Les Républicains,Parrainage à François Fillon
Jacques Kossowski,Député,Les Républicains,Parrainage à François Fillon
Jacques Krabal,Député,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Patrick Labaune,Député,Les Républicains,Parrainage à François Fillon
Georges Labazée,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Joël Labbé,Sénateur,Europe Écologie Les Verts,Parrainage à Benoît Hamon
Françoise Laborde,Sénateur,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Bernadette Laclais,Député,Parti socialiste,N'a parrainé personne
Valérie Lacroute,Député,Les Républicains,Parrainage à François Fillon
Conchita Lacuey,Député,Parti socialiste,Parrainage à Benoît Hamon
Marc Laffineur,Député,Les Républicains,Parrainage à Alain Juppé
Sonia Lagarde,Député,UDI,Parrainage à Alain Juppé
Jean-Christophe Lagarde,Député,Force Européenne Démocrate/UDI,Parrainage à François Fillon
Bernard Lalande,Sénateur,Parti socialiste,N'a parrainé personne
Alain Lamassoure,Député Européen,Les Républicains,Parrainage à François Fillon
Jérôme Lambert,Député,Sans étiquette,N'a parrainé personne
François-Michel Lambert,Député,Union des démocrates et écologistes,Parrainage à Emmanuel Macron
Jacques Lamblin,Député,Les Républicains,Parrainage à François Fillon
Marc Laménie,Sénateur,Les Républicains,N'a parrainé personne
Jean-François Lamour,Député,Les Républicains,Parrainage à François Fillon
Élisabeth Lamure,Sénateur,Les Républicains,Parrainage à François Fillon
François Lamy,Député,Parti socialiste,Parrainage à Benoît Hamon
Anne-Christine Lang,Député,Parti socialiste,Parrainage à Emmanuel Macron
Colette Langlade,Député,Parti socialiste,Parrainage à Benoît Hamon
Gérard Larcher,Sénateur,Les Républicains,Parrainage à François Fillon
Serge Larcher,Sénateur,Parti socialiste,Parrainage à Philippe Poutou
Guillaume Larrivé,Député,Les Républicains,Parrainage à François Fillon
Jean Lassalle,Député,Mouvement Démocrate (MoDEM),Parrainage à Philippe Poutou
Jean-Jacques Lasserre,Sénateur,Mouvement Démocrate (MoDEM),N'a parrainé personne
Robert Laufoaulu,Sénateur,Les Républicains,Parrainage à François Fillon
Jean Launay,Député,Parti socialiste,Parrainage à Emmanuel Macron
Pierre Laurent,Sénateur,Parti Communiste Français/Parti de la Gauche Européenne,Parrainage à Jean-Luc Mélenchon
Jean-Luc Laurent,Député,Mouvement Républicain et Citoyen,Parrainage à Bastien Faudot
Daniel Laurent,Sénateur,Les Républicains,Parrainage à François Fillon
Nuihau Laurey,Sénateur,Tahoeraa Huiraatira/UDI,N'a parrainé personne
Jérôme Lavrilleux,Député Européen,Sans étiquette,Parrainage à Michèle Alliot-Marie
Thierry Lazaro,Député,Les Républicains,Parrainage à François Fillon
Pierre-Yves Le Borgn',Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Yves Le Bouillonnec,Député,Parti socialiste,Parrainage à Benoît Hamon
Gilbert Le Bris,Député,Parti socialiste,Parrainage à Benoît Hamon
Isabelle Le Callennec,Député,Les Républicains,Parrainage à François Fillon
Anne-Yvonne Le Dain,Député,Parti socialiste,Parrainage à François Hollande
Jean-Yves Le Déaut,Député,Parti socialiste,Parrainage à Emmanuel Macron
Viviane Le Dissez,Député,Parti socialiste,Parrainage à Benoît Hamon
Marc Le Fur,Député,Les Républicains,Parrainage à François Fillon
Constance Le Grip,Député Européen,Les Républicains,N'a parrainé personne
Annie Le Houérou,Député,Parti socialiste,Parrainage à Benoît Hamon
Patrick Le Hyaric,Député Européen,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Annick Le Loch,Député,Parti socialiste,Parrainage à Benoît Hamon
Bruno Le Maire,Député,Les Républicains,N'a parrainé personne
Dominique Le Mèner,Député,Les Républicains,Parrainage à François Fillon
Jean-Marie Le Pen,Député Européen,Sans étiquette,Parrainage à Marine Le Pen
Marine Le Pen,Député Européen,Front National,Parrainage à Henri Guaino
Philippe Le Ray,Député,Les Républicains,Parrainage à François Fillon
Jean-Pierre Le Roch,Député,Parti socialiste,Parrainage à Emmanuel Macron
Marie-Thérèse Le Roy,Député,Parti socialiste,N'a parrainé personne
Michel Le Scouarnec,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Marie Le Vern,Député,Parti socialiste,N'a parrainé personne
Alain Leboeuf,Député,Les Républicains,Parrainage à François Fillon
Marylise Lebranchu,Député,Parti socialiste,Parrainage à Benoît Hamon
Patrick Lebreton,Député,Parti socialiste,Parrainage à Benoît Hamon
Gilles Lebreton,Député Européen,Front National,Parrainage à Marine Le Pen
Jean-Yves Leconte,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Vincent Ledoux,Député,Les Républicains,Parrainage à François Fillon
Michel Lefait,Député,Parti socialiste,N'a parrainé personne
Dominique Lefebvre,Député,Parti socialiste,N'a parrainé personne
Frédéric Lefebvre,Député,Les Républicains,Parrainage à François Fillon
Antoine Lefèvre,Sénateur,Les Républicains,Parrainage à François Fillon
Jacques Legendre,Sénateur,Les Républicains,Parrainage à François Fillon
Jean-Pierre Leleux,Sénateur,Les Républicains,Parrainage à François Fillon
Pierre Lellouche,Député,Les Républicains,N'a parrainé personne
Patrick Lemasle,Député,Parti socialiste,N'a parrainé personne
Catherine Lemorton,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Baptiste Lemoyne,Sénateur,Les Républicains,N'a parrainé personne
Jean-Claude Lenoir,Sénateur,Les Républicains,Parrainage à François Fillon
Christophe Leonard,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean Léonetti,Député,Les Républicains,Parrainage à François Fillon
Claudine Lepage,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Annick Lepetit,Député,Parti socialiste,Parrainage à Benoît Hamon
Pierre Lequiller,Député,Les Républicains,Parrainage à François Fillon
Arnaud Leroy,Député,Parti socialiste,Parrainage à Emmanuel Macron
Maurice Leroy,Député,Nouveau Centre/UDI,Parrainage à François Fillon
Jean-Claude Leroy,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Philippe Leroy,Sénateur,Les Républicains,Parrainage à François Fillon
Michel Lesage,Député,Parti socialiste,Parrainage à Benoît Hamon
Bernard Lesterlin,Député,Sans étiquette,Parrainage à Benoît Hamon
Valérie Létard,Sénateur,UDI,N'a parrainé personne
Serge Letchimy,Député,Parti Progressiste Martiniquais,Parrainage à Benoît Hamon
Céleste Lett,Député,Les Républicains,Parrainage à François Fillon
Geneviève Levy,Député,Les Républicains,Parrainage à François Fillon
Michel Liebgott,Député,Parti socialiste,Parrainage à Benoît Hamon
Marie-Noëlle Lienemann,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Martine Lignières-Cassou,Député,Parti socialiste,Parrainage à Benoît Hamon
Audrey Linkenheld,Député,Parti socialiste,Parrainage à Benoît Hamon
Philippe Loiseau,Député Européen,Front National,Parrainage à Marine Le Pen
Anne-Catherine Loisier,Sénateur,Sans étiquette,Parrainage à Alain Juppé
François Loncle,Député,Parti socialiste,Parrainage à Emmanuel Macron
Jean-François Longeot,Sénateur,UDI,Parrainage à Alain Juppé
Gérard Longuet,Sénateur,Les Républicains,Parrainage à François Fillon
Vivette Lopez,Sénateur,Les Républicains,Parrainage à François Fillon
Jeanny Lorgeoux,Sénateur,Parti socialiste,N'a parrainé personne
Gabrielle Louis-Carabin,Député,Divers gauche,N'a parrainé personne
Lucette Lousteau,Député,Parti socialiste,Parrainage à Benoît Hamon
Véronique Louwagie,Député,Les Républicains,Parrainage à François Fillon
Jean-Jacques Lozach,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Lionnel Luca,Député,Les Républicains,Parrainage à François Fillon
Jean-Claude Luche,Sénateur,UDI,N'a parrainé personne
Victorin Lurel,Député,Parti socialiste,Parrainage à Benoît Hamon
Gilles Lurton,Député,Les Républicains,Parrainage à François Fillon
Roger Madec,Sénateur,Parti socialiste,N'a parrainé personne
Philippe Madrelle,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Jean-Pierre Maggi,Député,Sans étiquette,Parrainage à Emmanuel Macron
Jacques-Bernard Magner,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Michel Magras,Sénateur,Sans étiquette,Parrainage à François Fillon
Hermeline Malherbe,Sénateur,Parti socialiste,N'a parrainé personne
Claude Malhuret,Sénateur,Les Républicains,N'a parrainé personne
Noël Mamère,Député,Sans étiquette,Parrainage à Benoît Hamon
Christian Manable,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Jean-François Mancel,Député,Les Républicains,Parrainage à François Fillon
Didier Mandelli,Sénateur,Les Républicains,Parrainage à François Fillon
Louis-Joseph Manscour,Député Européen,Parti socialiste,N'a parrainé personne
Jacqueline Maquet,Député,Parti socialiste,N'a parrainé personne
Alain Marc,Sénateur,Les Républicains,N'a parrainé personne
François Marc,Sénateur,Parti socialiste,N'a parrainé personne
Laurent Marcangeli,Député,Les Républicains,Parrainage à François Fillon
Marie-Lou Marcel,Député,Parti socialiste,Parrainage à Benoît Hamon
Marion Maréchal-Le Pen,Député,Front National,Parrainage à Marine Le Pen
Thierry Mariani,Député,Les Républicains,Parrainage à François Fillon
Didier Marie,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Alfred Marie-Jeanne,Député,Mouvement indépendantiste martiniquais,N'a parrainé personne
Hervé Mariton,Député,Les Républicains,Parrainage à François Fillon
Alain Marleix,Député,Les Républicains,Parrainage à François Fillon
Olivier Marleix,Député,Les Républicains,Parrainage à François Fillon
Franck Marlin,Député,Les Républicains,Parrainage à François Fillon
Jean-René Marsac,Député,Parti socialiste,Parrainage à Benoît Hamon
Alain Marsaud,Député,Les Républicains,Parrainage à François Fillon
Hervé Marseille,Sénateur,UDI,Parrainage à François Fillon
Philippe Armand Martin,Député,Les Républicains,Parrainage à François Fillon
Philippe Martin,Député,Parti socialiste,Parrainage à Benoît Hamon
Dominique Martin,Député Européen,Front National,Parrainage à Marine Le Pen
Edouard Martin,Député Européen,Parti socialiste,Parrainage à Benoît Hamon
Patrice Martin-Lalande,Député,Les Républicains,Parrainage à François Fillon
Martine Martinel,Député,Parti socialiste,Parrainage à Benoît Hamon
Alain Marty,Député,Les Républicains,Parrainage à François Fillon
Patrick Masclet,Sénateur,Les Républicains,Parrainage à François Fillon
Frédérique Massat,Député,Parti socialiste,N'a parrainé personne
Jean-Pierre Masseret,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Jean Louis Masson,Sénateur,Démocratie et République,Parrainage à Nicolas Dupont-Aignan
Véronique Massonneau,Député,Union des Démocrates et des Ecologistes,Parrainage à Benoît Hamon
Jean-Claude Mathis,Député,Les Républicains,Parrainage à François Fillon
Emmanuel Maurel,Député Européen,Parti socialiste,Parrainage à Benoît Hamon
Hervé Maurey,Sénateur,Nouveau Centre/UDI,Parrainage à François Fillon
Jean-François Mayet,Sénateur,Les Républicains,Parrainage à François Fillon
Sandrine Mazetier,Député,Parti socialiste,Parrainage à Benoît Hamon
Rachel Mazuir,Sénateur,Parti socialiste,N'a parrainé personne
Pierre Médevielle,Sénateur,Parti Radical/UDI,Parrainage à François Fillon
Jean-Luc Mélenchon,Député Européen,Parti De Gauche,Parrainage à Jean-Luc Mélenchon
Joëlle Mélin,Député Européen,Front National,Parrainage à Marine Le Pen
Colette Mélot,Sénateur,Les Républicains,Parrainage à François Fillon
Michel Ménard,Député,Parti socialiste,Parrainage à Benoît Hamon
Patrick Mennucci,Député,Parti socialiste,Parrainage à Benoît Hamon
Gérard Menuel,Député,Les Républicains,Parrainage à François Fillon
Marie Mercier,Sénateur,Les Républicains,N'a parrainé personne
Michel Mercier,Sénateur,UDI,Parrainage à Emmanuel Macron
Damien Meslot,Député,Les Républicains,Parrainage à François Fillon
Kléber Mesquida,Député,Parti socialiste,Parrainage à Benoît Hamon
Michelle Meunier,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Philippe Meunier,Député,Les Républicains,Parrainage à François Fillon
Jacques Mézard,Sénateur,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Danielle Michel,Sénateur,Parti socialiste,N'a parrainé personne
Brigitte Micouleau,Sénateur,Les Républicains,Parrainage à François Fillon
Jean-Claude Mignon,Député,Les Républicains,Parrainage à François Fillon
Alain Milon,Sénateur,Les Républicains,N'a parrainé personne
Gérard Miquel,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Thani Mohamed Soilihi,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Paul Molac,Député,Sans étiquette,N'a parrainé personne
Marie-Pierre Monier,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Bernard Monot,Député Européen,Front National,Parrainage à Marine Le Pen
Franck Montaugé,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Sophie Montel,Député Européen,Front National,Parrainage à Marine Le Pen
Pierre Morange,Député,Les Républicains,Parrainage à François Fillon
Nadine Morano,Député Européen,Les Républicains,N'a parrainé personne
Yannick Moreau,Député,Les Républicains,Parrainage à François Fillon
Pierre Morel-A-L'Huissier,Député,Les Républicains,Parrainage à François Fillon
Patricia Morhet-Richaud,Sénateur,Les Républicains,Parrainage à François Fillon
Elisabeth Morin-Chartier,Député Européen,Les Républicains,Parrainage à François Fillon
Catherine Morin-Desailly,Sénateur,Nouveau Centre/UDI,N'a parrainé personne
Jean-Marie Morisset,Sénateur,Les Républicains,Parrainage à François Fillon
Philippe Mouiller,Sénateur,Les Républicains,Parrainage à François Fillon
Alain Moyne-Bressand,Député,Les Républicains,Parrainage à François Fillon
Pierre-Alain Muet,Député,Parti socialiste,Parrainage à Benoît Hamon
Renaud Muselier,Député Européen,Les Républicains,N'a parrainé personne
Jacques Myard,Député,Les Républicains,Parrainage à François Fillon
Philippe Nachbar,Sénateur,Les Républicains,Parrainage à François Fillon
Dominique Nachury,Député,Les Républicains,Parrainage à François Fillon
Philippe Naillet,Député,Parti socialiste,Parrainage à Benoît Hamon
Christian Namy,Sénateur,Parti Radical/UDI,N'a parrainé personne
Philippe Nauche,Député,Parti socialiste,Parrainage à Benoît Hamon
Robert Navarro,Sénateur,Sans étiquette,N'a parrainé personne
Louis Nègre,Sénateur,Les Républicains,Parrainage à François Fillon
Alain Néri,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Yves Nicolin,Député,Les Républicains,Parrainage à François Fillon
Nathalie Nieson,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Philippe Nilor,Député,Mouvement indépendantiste martiniquais,N'a parrainé personne
Philippe Noguès,Député,Sans étiquette,Parrainage à Benoît Hamon
Claude Nougein,Sénateur,Les Républicains,Parrainage à Alain Juppé
Robert Olive,Député,Parti socialiste,Parrainage à Benoît Hamon
Maud Olivier,Député,Parti socialiste,Parrainage à Benoît Hamon
Patrick Ollier,Député,Les Républicains,Parrainage à Michèle Alliot-Marie
Younous Omarjee,Député Européen,Parti Communiste Réunionnais,Parrainage à Jean-Luc Mélenchon
Dominique Orliac,Député,Parti Radical de Gauche,N'a parrainé personne
Monique Orphé,Député,Parti socialiste,Parrainage à Emmanuel Macron
Michel Pajon,Député,Parti socialiste,N'a parrainé personne
Bertrand Pancher,Député,Parti Radical/UDI,N'a parrainé personne
Luce Pane,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Jacques Panunzi,Sénateur,Les Républicains,Parrainage à François Fillon
Gilles Pargneaux,Député Européen,Parti socialiste,Parrainage à Benoît Hamon
Georges Patient,Sénateur,Parti socialiste,Parrainage à Oscar Temaru
François Patriat,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
George Pau-Langevin,Député,Parti socialiste,Parrainage à Benoît Hamon
Christian Paul,Député,Parti socialiste,Parrainage à Benoît Hamon
Philippe Paul,Sénateur,Les Républicains,Parrainage à François Fillon
Rémi Pauvros,Député,Parti socialiste,Parrainage à Benoît Hamon
Vincent Peillon,Député Européen,Parti socialiste,Parrainage à Benoît Hamon
Germinal Peiro,Député,Parti socialiste,Parrainage à Benoît Hamon
Jacques Pélissard,Député,Les Républicains,Parrainage à François Fillon
Cyril Pellevat,Sénateur,Les Républicains,Parrainage à François Fillon
Hervé Pellois,Député,Divers gauche,N'a parrainé personne
Daniel Percheron,Sénateur,Parti socialiste,N'a parrainé personne
Jean-Claude Perez,Député,Parti socialiste,Parrainage à Emmanuel Macron
Stéphanie Pernod Beaudon,Député,Les Républicains,Parrainage à François Fillon
Marie-Françoise Perol-Dumont,Sénateur,Parti socialiste,N'a parrainé personne
Cédric Perrin,Sénateur,Les Républicains,Parrainage à François Fillon
Bernard Perrut,Député,Les Républicains,Parrainage à François Fillon
Edouard Philippe,Député,Les Républicains,Parrainage à François Fillon
Florian Philippot,Député Européen,Front National,Parrainage à Marine Le Pen
Jackie Pierre,Sénateur,Les Républicains,Parrainage à François Fillon
Sébastien Pietrasanta,Député,Parti socialiste,N'a parrainé personne
François Pillet,Sénateur,Les Républicains,Parrainage à François Fillon
Sylvia Pinel,Député,Parti Radical de Gauche,N'a parrainé personne
Xavier Pintat,Sénateur,Les Républicains,N'a parrainé personne
Christine Pires Beaune,Député,Parti socialiste,Parrainage à Benoît Hamon
Michel Piron,Député,UDI,Parrainage à Alain Juppé
Philippe Plisson,Député,Parti socialiste,Parrainage à Benoît Hamon
Elisabeth Pochon,Député,Parti socialiste,N'a parrainé personne
Hervé Poher,Sénateur,Parti socialiste,N'a parrainé personne
Rémy Pointereau,Sénateur,Les Républicains,Parrainage à François Fillon
Jean-Frédéric Poisson,Député,Parti Chrétien-Démocrate/Les Républicains,Parrainage à François Fillon
Berengère Poletti,Député,Les Républicains,Parrainage à François Fillon
Napole Polutélé,Député,Sans étiquette,Parrainage à Emmanuel Macron
Maurice Ponga,Député Européen,Rassemblement - Les Républicains,Parrainage à François Fillon
Ladislas Poniatowski,Sénateur,Les Républicains,Parrainage à François Fillon
Axel Poniatowski,Député,Les Républicains,Parrainage à François Fillon
Josette Pons,Député,Les Républicains,Parrainage à François Fillon
Pascal Popelin,Député,Parti socialiste,N'a parrainé personne
Hugues Portelli,Sénateur,Les Républicains,Parrainage à François Fillon
Dominique Potier,Député,Parti socialiste,Parrainage à Benoît Hamon
Michel Pouzol,Député,Parti socialiste,Parrainage à Benoît Hamon
Régine Povéda,Député,Parti socialiste,Parrainage à Benoît Hamon
Yves Pozzo Di Borgo,Sénateur,UDI,Parrainage à François Fillon
Patrice Prat,Député,Sans étiquette,N'a parrainé personne
Christophe Premat,Député,Parti socialiste,Parrainage à Benoît Hamon
Sophie Primas,Sénateur,Les Républicains,Parrainage à François Fillon
Christophe Priou,Député,Les Républicains,Parrainage à François Fillon
Catherine Procaccia,Sénateur,Les Républicains,Parrainage à François Fillon
Franck Proust,Député Européen,Les Républicains,Parrainage à François Fillon
Christine Prunaud,Sénateur,Parti Communiste Français,Parrainage à Philippe Poutou
Joaquim Pueyo,Député,Parti socialiste,N'a parrainé personne
François Pupponi,Député,Parti socialiste,Parrainage à Benoît Hamon
Didier Quentin,Député,Les Républicains,Parrainage à François Fillon
Catherine Quéré,Député,Parti socialiste,N'a parrainé personne
Valérie Rabault,Député,Parti socialiste,Parrainage à Benoît Hamon
Monique Rabin,Député,Parti socialiste,Parrainage à Benoît Hamon
David Rachline,Sénateur,Front National,Parrainage à Marine Le Pen
Jean-Pierre Raffarin,Sénateur,Les Républicains,Parrainage à François Fillon
Dominique Raimbourg,Député,Parti socialiste,Parrainage à Benoît Hamon
Michel Raison,Sénateur,Les Républicains,Parrainage à François Fillon
Daniel Raoul,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Jean-François Rapin,Sénateur,Les Républicains,Parrainage à François Fillon
Stéphane Ravier,Sénateur,Front National,Parrainage à Marine Le Pen
Claude Raynal,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Marie Recalde,Député,Parti socialiste,Parrainage à Benoît Hamon
André Reichardt,Sénateur,Les Républicains,N'a parrainé personne
Daniel Reiner,Sénateur,Parti socialiste,N'a parrainé personne
Frédéric Reiss,Député,Les Républicains,Parrainage à François Fillon
Jean-Luc Reitzer,Député,Les Républicains,Parrainage à François Fillon
Jean-Claude Requier,Sénateur,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Bruno Retailleau,Sénateur,Les Républicains,Parrainage à François Fillon
Christine Revault D'Allonnes Bonnefoy,Député Européen,Parti socialiste,Parrainage à Benoît Hamon
Charles Revet,Sénateur,Les Républicains,Parrainage à François Fillon
Marie-Line Reynaud,Député,Parti socialiste,Parrainage à Benoît Hamon
Bernard Reynès,Député,Les Républicains,Parrainage à François Fillon
