DÉNOMINATION DE LA FORMATION POLITIQUE (1),"LOCALISATION
du siège"
ACTION   SAVOIE   PREMIÈRE ,CHAMBÉRY (73000)
AGIR AU QUOTIDIEN AVEC NICOLAS DUPONT-AIGNAN,YERRES (91330)
AGIR ENSEMBLE POUR LEVALLOIS ,LEVALLOIS-PERRET (92300)
AGIR POUR DEMAIN ,CASTRES (81100)
AGIR   POUR   L’ÉGALITÉ,PARIS (75009)
AI’A-API     ,TAHITI – POLYNÉSIE FRANÇAISE (98709)
AIMER     ANGERS,ANGERS (49100)
ALLIANCE MÉDITERRANÉE ALPES (LES AMIS DE CHRISTIAN ESTROSI),NICE (06000)
ALLIANCE POUR LA SOUVERAINETÉ DE LA FRANCE,BOULOGNE-BILLANCOURT   (92100)
ALLIANCE     ROYALE,PARIS (75017)
ALTERNANCE   POUR   L’ÎLE-DE-FRANCE ,PARIS (75010)
ALTERNATIVE    2007 ,PARIS (75015)
ALTERNATIVE   DÉMOCRATIE   SOCIALISME ,LIMOGES (87000)
ALTERNATIVE    LIBÉRALE ,PARIS (75116)
ARCHIPEL     DEMAIN,SAINT-PIERRE-ET-MIQUELON   (97500)
ARGENTEUIL QUE NOUS AIMONS,ARGENTEUIL (95100)
ARIAS     94,ORLY (94310)
ASSOCIATION 6e UNION,PARIS CEDEX 06 (75265)
ASSOCIATION DE SOUTIEN À L’ACTION DE NICOLAS SARKOZY,NEUILLY-SUR-SEINE (92200)
ASSOCIATION DE SOUTIEN À L’ACTION D’ÉRIC WOERTH ,SENLIS (60300)
ASSOCIATION DÉMOCRATIE ET LIBERTÉ,FLEURANCE (32500)
ASSOCIATION DES CYBERMILITANTS DE LA DROITE ET DU CENTRE ,PARIS (75015)
ASSOCIATION DROITE DE FRANCE ,PARIS (75006)
"ASSOCIATION   MÛRS-ERIGNÉ,   ENSEMBLE",MÛRS-ÉRIGNÉ (49610)
ASSOCIATION NATIONALE DES AMIS DE NICOLAS SARKOZY,BRUGES (33520)
ASSOCIATION PARIS 15,PARIS (75015)
"ASSOCIATION POUR LA DÉMOCRATIE, L’ÉCOLOGIE ET LA SOLIDARITÉ",GRENOBLE (38000)
ASSOCIATION POUR LA RÉFORME ,PARIS (75006)
ASSOCIATION POUR L’AVENIR DE LA HAUTE SAINTONGE ET DE LA SAINTONGE ATLANTIQUE ,SAINT-GEORGES-DE-DIDONNE   (17110)
ASSOCIATION PSLE – NOUVEAU CENTRE ,PARIS (75007)
AUJOURD’HUI AUTREMENT,PARIS (75015)
AVEC VOUS POUR LE 18e ,PARIS (75018)
BÂTIR LE PAYS MARTINIQUE,LE LAMENTIN (97232)
BIEN VIVRE DANS LE DROUAIS ,DREUX (28100)
BOUGEONS-NOUS,SAINT-MARTIN-D’HÈRES (38400)
CAP SUR L’AVENIR ,SAINT-PIERRE-ET-MIQUELON   (97500)
CAP SUR L’AVENIR 13,MARSEILLE (13005)
CENTRE DROIT LIBÉRAL ,PERTUIS (84120)
CENTRE NATIONAL DES INDÉPENDANTS ET DES PAYSANS ,PARIS (75008)
CHAMPIGNY CAP OUEST ,CHAMPIGNY-SUR-MARNE (94500)
CHANGEONS      VILLEURBANNE,VILLEURBANNE   (69100)
CHASSE PÊCHE NATURE ET TRADITIONS,PAU CEDEX (64075)
CHÂTENAY-MALABRY À PLEINE VIE,CHÂTENAY-MALABRY (92290)
CITOYENNETÉ ACTION PARTICIPATION POUR LE 21e SIÈCLE ,PARIS (75008)
COMBAT POUR LES VALEURS,PARIS (75007)
COMITÉ D’ACTION ET DE RÉFLEXION DÉPARTEMENTALE ,NEUILLY-PLAISANCE   (93360)
COMITÉ DE SOUTIEN À PATRICK BOBET ,LE BOUSCAT (33110)
COMITÉ DES CITOYENS MONTREUILLOIS,MONTREUIL-SOUS-BOIS (93100)
COMITÉ POUR SAINT-MICHEL ,SAINT-MICHEL-SUR-ORGE   (91240)
COMMUNISTES     ,PARIS (75014)
CONDOM CITOYENNE – CONDOM AUTREMENT ,CONDOM (32100)
CONFÉDÉRATION DES ÉCOLOGISTES INDÉPENDANTS ,MONTPELLIER (34000)
CONVENTION    CITOYENNE ,MARSEILLE (13001)
CONVENTION POUR LA RÉNOVATION DES INSTITUTIONS DE LA RÉPUBLIQUE ET DE L’ÉTAT,LYON (69005)
CONVENTION POUR UNE ALTERNATIVE PROGRESSISTE ,PARIS (75010)
CONVERGENCES     CHAMPIGNY,CHAMPIGNY-SUR-MARNE (94500)
CONVERGENCES    NATIONALES ,PARIS CEDEX 16 (75784)
CONVERGENCES-GILLES   CARREZ ,CHAMPIGNY-SUR-MARNE (94500)
COTELEC    ,SAINT-CLOUD (92210)
COURAGE    RÉPUBLIQUE ,BOULOGNE-BILLANCOURT   (92100)
DEBOUT   LA   RÉPUBLIQUE,YERRES (91330)
DÉMOCRATIE   CHRÉTIENNE   FRANÇAISE ,PARIS (75007)
DÉMOCRATIE ET RÉPUBLIQUE (ANCIENNEMENT METZ POUR TOUS),METZ (57000)
DES VILLAGES DANS LA VILLE ,SAINT-MAUR-DES-FOSSÉS   (94100)
DÉSIRS    D’AVENIR ,PARIS (75010)
DESSINONS L’AVENIR AVEC ALAIN GIRARD,CROSNE (91560)
DIALOGUE & INITIATIVE ,PARIS (75006)
