"DÉNOMINATION
de la formation politique","LOCALISATION
du siège"
GUADELOUPE UNIE SOCIALISME ET RÉALITÉS,97122
HAU NOA,
IA HAU NOA,98712
IDÉES-FORCE,92350
IDENTITÉ ET RÉPUBLIQUE,97435
INDÉPENDANTS DE LA FRANCE DE MÉTROPOLE ET D’OUTRE- MER,49300
INITIATIVE 2012,92130
INITIATIVE CITOYENNE POUR L’INCLUSION TRANSVERSALE ET UNIVERSELLE,17100
INITIATIVES DIJON,21000
JEANNE,75116
LA DIAGONALE,75017
LA DROITE DU BON SENS,75015
LA DROITE SOCIALE,43000
LA FÉDÉRATION DE CITOYEN-NE-S ET DE FORCES POUR UNE ALTERNATIVE SOCIALE ET ÉCOLOGIQUE,75010
LA FORCE CITOYENNE,79500
LA FRANCE DROITE,91310
LA FRANCE EN TÊTE,84100
LA GAUCHE MODERNE,92200
LA POLITIQUE AUTREMENT,97425
LA RELÈVE,97441
LA RESTAURATION NATIONALE,75018
LA RÉUNION EN CONFIANCE,
LA VOLONTÉ DE VIVRE ENSEMBLE,68100
L’ACTION,97230
L’ALLIANCE ÉCOLOGISTE INDÉPENDANTE,75012
L’ALLIANCE RÉGIONALE,59000
LA-NOUVELLE-AGORA10,10000
L’AUTRE CHEMIN POUR LA GAUCHE,75003
L’AUTRE MÉTROPOLE,69300
L’AVENIR ENSEMBLE,28600
LE 10e EN MOUVEMENT,75010
LE BON SENS EN PUISAYE,77300
LE CENTRE POUR LA FRANCE,75007
LE CHÊNE,64500
LE GRAND PARIS DES CITOYENS,75013
LE GROUPE DES NON-INSCRITS,97300
LE MOUVEMENT,97417
LE MOUVEMENT DE LA DIVERSITÉ,98802
LE PARTI DE LA FRANCE,78860
LE PHARE (PROMOTION DE L’HUMANISME ACTIF RÉPUBLICAIN EUROPÉEN),93200
LE RASSEMBLEMENT (LES AMIS DE CHRISTIAN ESTROSI),6000
LE TRÈFLE-LES NOUVEAUX ÉCOLOGISTES-HOMME NATURE ANIMAUX,13006
LE XII SOLIDAIRE,75012
LES ALTERNATIFS,75011
LES AMIS DE MAX-ANDRÉ PICK,59100
LES AMIS DE NICOLAS SARKOZY,75015
LES AMIS DE NKM,75006
LES AMIS DE RICHARD MALLIÉ,13120
LES AMIS D’ÉTIENNE MANGEOT,54620
LES CENTRISTES HUMANISTES,17300
LES PROGRESSISTES.FR,
L’ÉTANG-SALÉ LIBRE,97427
L’EURE D’AGIR,27000
L’IDÉE FRANÇAISE,78600
LIGUE COMMUNISTE RÉVOLUTIONNAIRE,93100
LIGUE DU SUD,84100
L’UNION POUR L’AVEYRON,12340
LUTTE OUVRIÈRE,93500
MAIZIÈRES ENSEMBLE,57280
MARSEILLE 21,13008
MASSY POUR VOUS,91300
MIEUX VIVRE EN VAL-D’OISE,95490
MIEUX VIVRE ENSEMBLE,77130
MOUVEMENT CITOYEN RÉGIONAL NORD - PAS-DE-CALAIS,62300
MOUVEMENT CLÉROCRATIQUE,26120
MOUVEMENT DE DÉCOLONISATION ET D’ÉMANCIPATION SOCIALE,97354
MOUVEMENT DÉMOCRATE,75007
MOUVEMENT DÉMOCRATIE ALSACIENNE,67300
MOUVEMENT DÉPARTEMENTALISTE MAHORAIS,97615
MOUVEMENT DES RÉFORMATEURS,67130
MOUVEMENT DU PEUPLE POUR LA RESPONSABILITÉ,
MOUVEMENT D’UNION DE GESTION COMMUNALE DE LA VILLE DE PLAN DE CUQUES,13380
MOUVEMENT ÉCOLOGISTE INDÉPENDANT,2570
MOUVEMENT     HOMMES-ANIMAUX-NATURE,6000
MOUVEMENT INDÉPENDANT POPULAIRE,92120
MOUVEMENT   INDÉPENDANTISTE   MARTINIQUAIS,97200
MOUVEMENT INITIATIVE POPULAIRE,97230
MOUVEMENT LA RÉUNION AUTREMENT,97490
MOUVEMENT LIBÉRAL POPULAIRE,97200
MOUVEMENT NATIONAL RÉPUBLICAIN,75015
MOUVEMENT POLITIQUE D’ÉDUCATION POPULAIRE,91300
MOUVEMENT POPULAIRE FRANCISCAIN,97240
MOUVEMENT POUR LA FRANCE,75007
MOUVEMENT POUR L’ALTERNANCE POLITIQUE,97460
MOUVEMENT POUR LE REDRESSEMENT DE LA FRANCE,59200
MOUVEMENT PROGRESSISTE DES FRANÇAIS DE L’ÉTRANGER,77100
MOUVEMENT RÉPUBLICAIN ET CITOYEN,75012
MOUVEMENT ROUGE ET VERT D’ILLE-ET-VILAINE,35000
MOUVEMENT SOCIAL ET LIBÉRAL DE NORMANDIE,76000
MOUVEMENT UNITAIRE DES DROITES INDÉPENDANTES (MUDI),76300
MOUVEMENT UNITAIRE PROGRESSISTE,92800
MURET AU CŒUR,31600
NANCY PREMIÈRE,54000
NICOLAS HULOT 2012,75008
NO Œ E TE NUNA’A,98713
"NOFWAP, LA GUADELOUPE EN ACTION",97110
NOGENT DÉMOCRATIE,94130
NOUVEAU PARTI ANTICAPITALISTE,93100
NOUVEAUX HORIZONS,75015
NOUVELLE UNION FRANÇAISE,88001
O COMME OXYGÈNE,75116
O PORINETIA TO TATOU AI’A,98713
OSONS LE DYNAMISME POUR LOUVECIENNES (dit OSONS),78430
OSONS MIDI-PYRÉNÉES,82000
PALAISEAU À VENIR,91120
PARIS 2014,75015
