Titre,Circonscription,Groupe parlementaire,Parti politique d'adhésion,Type de déclaration,Format de la déclaration,Date de déclaration,Date de publication,Différentiel en jours
Catherine Troallic,Seine-Maritime (08),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,07/05/15,17/06/15,41
Virginie Duby-Muller,Haute-Savoie (4),Les Républicains,Les Républicains,Modification,Papier,10/05/15,13/07/15,64
Marianne Dubois,Loiret (5),Les Républicains,Les Républicains,Modification,Papier,11/05/15,17/06/15,37
Chaynesse Khirouni,Meurthe-et-Moselle (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,15/05/15,17/06/15,33
Sylvie Tolmont,Sarthe (4),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,20/05/15,17/06/15,28
Dominique Bussereau,Charente-Maritime (4),Les Républicains,Les Républicains,Modification,Papier,22/05/15,26/01/17,615
Jean-Pierre Barbier,Isère (07),Les Républicains,Les Républicains,Modification,Papier,29/05/15,17/06/15,19
Jean-Charles Taugourdeau,Maine-et-Loire (3),Les Républicains,Les Républicains,Modification,Papier,04/06/15,17/06/15,13
Francis Vercamer,Nord (07),Union des Démocrates Indépendants,Nouveau Centre/UDI,Modification,Papier,08/06/15,17/06/15,9
Isabelle Le Callennec,Ille-et-Vilaine (5),Les Républicains,Les Républicains,Modification,Papier,16/06/15,13/07/15,27
Jean-Pierre Gorges,Eure-et-Loir (1),Les Républicains,Les Républicains,Modification,Papier,18/06/15,13/07/15,25
Bernard Debré,Paris (04),Les Républicains,Les Républicains,Modification,Papier,25/06/15,13/07/15,18
Marie-Françoise Bechtel,Aisne (4),Socialiste Ecologiste et Républicain,République Moderne,Modification,Papier,26/06/15,13/07/15,17
Laurent Grandguillaume,Côte-d'Or (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,29/06/15,13/07/15,14
Patrick Bloche,Paris (07),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,13/07/15,02/09/15,51
Michel Sordi,Haut-Rhin (4),Les Républicains,Les Républicains,Modification,Papier,13/07/15,02/09/15,51
Annick Lepetit,Paris (03),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,15/07/15,02/09/15,49
Michel Sordi,Haut-Rhin (4),Les Républicains,Les Républicains,Modification,Papier,16/07/15,02/09/15,48
Serge Grouard,Loiret (2),Les Républicains,Les Républicains,Modification,Papier,11/08/15,02/09/15,22
Nathalie Kosciusko-Morizet,Essonne (04),Les Républicains,Les Républicains,Modification,Papier,27/08/15,23/12/15,118
Philippe Gomès,Nouvelle-Calédonie (2),Union des Démocrates Indépendants,UDI,Modification,Papier,01/09/15,23/12/15,113
Jean-Marie Sermier,Jura (3),Les Républicains,Les Républicains,Modification,Papier,10/09/15,23/12/15,104
