Parti rattachement
MOUVEMENT DÉMOCRATE
PARTI SOCIALISTE
LUTTE OUVRIERE
LA FRANCE INSOUMISE
LES RÉPUBLICAINS
UNION POPULAIRE RÉPUBLICAINE
ALLIANCE ÉCOLOGISTE INDÉPENDANTE
PARTI COMMUNISTE FRANCAIS
FRONT NATIONAL
EUROPE ÉCOLOGIE LES VERTS
DEBOUT LA FRANCE
EN MARCHE !
PARTI RADICAL DE GAUCHE
PARTI DU VOTE BLANC
"UNION DES DÉMOCRATES, RADICAUX ET LIBÉRAUX"
PARTI ANIMALISTE
PARTI OUVRIER INDÉPENDANT ET DÉMOCRATIQUE (POID)
LA FRANCE QUI OSE
UNION DES PATRIOTES
RÉGIONS ET PEUPLES SOLIDAIRES
PARTI CHRÉTIEN-DÉMOCRATE
MOUVEMENT DES PROGRESSISTES
577 - LES INDÉPENDANTS
CAISSE CLAIRE
"ALLONS ENFANTS, LE PARTI DE LA JEUNESSE"
RÉPUBLICAINS SOCIAUX
GUADELOUPE UNIE SOLIDAIRE ET RESPONSABLE
CAP CITOYENS
MOUVEMENT INDÉPENDANTISTE MARTINIQUAIS
PARTI PROGRESSISTE MARTINIQUAIS (PPM)
WALWARI
PARTI COMMUNISTE REUNIONNAIS
LA POLITIQUE AUTREMENT
VIVRE LA REUNION
GROUPEMENT FRANCE REUNION
PROGRES 974
RÉZISTANS ÉGALITÉ 974
LA FRANCE EN MOUVEMENT
LES RÉPUBLICAINS ENSEMBLE DANS LA FRANCE
CALEDONIE ENSEMBLE
MOUVEMENT POPULAIRE CALÉDONIEN
COEUR DE L'HUMANITÉ
Tahoeraa Huiraatira
Tapura Huiraatira
Tau Hoturau
Tavini Huiraatira No Te Ao Maohi - Front de Libération de Polynésie
ARCHIPEL DEMAIN
CAP SUR L'AVENIR
