DÉNOMINATION de la formation politique,LOCALISATION du siège
À GAUCHE INNOVER RASSEMBLER,Paris (75002)
AIA   -   API,Mahina (Polynésie française)
ACT     UP-GROUP ,Paris (75011)
AGIR AU QUOTIDIEN AVEC NICOLAS DUPONT-AIGNAN,Yerres (91330)
AGIR ENSEMBLE POUR LEVALLOIS ,Levallois (92300)
AGIR POUR DEMAIN ,Castres (81100)
AIMER      ANGERS,Angers (49100)
"ALLIANCE EUROPÉENNE POUR LA PAIX, LA PROSPÉRITÉ, LE PARTAGE",Nîmes (30000)
ALLIANCE      MÉDITERRANÉE-ALPES,Nice (06200)
ALLIANCE POUR LA SOUVERAINETÉ DE LA FRANCE,Boulogne-Billancourt  (92100)
ALLIANCE      ROYALE,Paris (75017)
APPEL POUR UNE INSURRECTION DES CONSCIENCES,Les Vans (07140)
ARCHIPEL      DEMAIN,Saint-Pierre-et-Miquelon  (97500)
ARGENTEUIL QUE NOUS AIMONS ,Argenteuil  (95100)
ARIAS      94,Orly (94310)
ASSOCIATION 6e UNION,Paris (75006)
ASSOCIATION DE SOUTIEN À L’ACTION DE NICOLAS SARKOZY,Neuilly-sur-Seine  (92200)
ASSOCIATION   DROITE   DE   FRANCE ,Paris (75002)
ASSOCIATION    PARIS    15,Paris (75015)
ASSOCIATION PARTI SOCIALISTE - PARTI RADICAL SOCIALISTE ET APPARENTÉS,Paris (75007)
"ASSOCIATION POUR LA DÉMOCRATIE, L’ÉCOLOGIE ET LA SOLIDARITÉ",Grenoble (38000)
ASSOCIATION POUR LA RÉFORME ,Paris (75015)
ASSOCIATION POUR L’AVENIR DE LA HAUTE SAINTONGE ET DE LA SAINTONGE MARITIME ,Saint-Georges-de-Didonne  (17110)
ASSOCIATION POUR L’INFORMATION DES HABITANTS DU 16e  ARRONDISSEMENT,Paris (75016)
ASSOCIATION POUR UNE DROITE UNIE DANS LA 10e  CIRCONSCRIPTION DES BOUCHES-DU-RHÔNE     ,Bouc-Bel-Air (13320)
ASSOCIATION POUR UNE GAUCHE RÉPUBLICAINE ,Lure (70200)
AUTREMENT LA VIE PUBLIQUE AUTREMENT,Grenoble (38000)
AVEC VOUS POUR LE 18e ,Paris (75018)
AVENIR     ,–
BÂTIR LE PAYS MARTINIQUE ,Lamentin (97232)
BRÉTIGNY AUTREMENT : UNE GAUCHE PLURALISTE ,Brétigny-sur-Orge  (91220)
BUREAU NATIONAL DU PARTI DU VOTE BLANC,La Chapelle-Saint-Mesmin (45380)
CAP     21 ,Paris (75008)
CAP SUR L’AVENIR 13,Marseille (13005)
CENTRE NATIONAL DES INDÉPENDANTS ET DES PAYSANS ,Paris (75008)
CHASSE PÊCHE NATURE ET TRADITIONS,Pau (64000)
CHÂTENAY-MALABRY À PLEINE VIE,Châtenay-Malabry (92290)
COMBAT     OUVRIER ,Fort-de-France (97200)
COMBAT POUR LES VALEURS ,Paris (75007)
COMITÉ D’ACTION ET DE RÉFLEXION DÉPARTEMENTALE ,Neuilly-Plaisance (93360)
COMITÉ DE SOUTIEN À PATRICK BOBET ,Le Bouscat (33110)
COMITÉ DES CITOYENS MONTREUILLOIS,Montreuil-sous-Bois  (93100)
COMITÉ   POUR   SAINT-MICHEL ,Saint-Michel-sur-Orge  (91240)
CONCORDAT    CITOYEN ,Le Raincy (93340)
CONDOM CITOYENNE - CONDOM AUTREMENT,Condom (32100)
CONFÉDÉRATION DES ÉCOLOGISTES INDÉPENDANTS ,Blesme (51340)
CONVENTION     CITOYENNE ,Marseille (13001)
CONVENTION POUR LA RÉNOVATION DES INSTITUTIONS DE LA RÉPUBLIQUE ET DE L’ÉTAT ,Lyon (69005)
CONVENTION POUR UNE ALTERNATIVE PROGRESSISTE ,Paris (75003)
CONVERGENCES      CHAMPIGNY,Champigny-sur-Marne  (94500)
CONVERGENCES-GILLES    CARREZ ,Champigny-sur-Marne  (94500)
COORDINATION COMMUNISTE DU RHÔNE ,Lyon (69003)
COTELEC     ,Saint-Cloud (92210)
DEBOUT    LA    RÉPUBLIQUE,Yerres (91330)
DÉMOCRATIE   CHRÉTIENNE   FRANÇAISE ,Paris (75007)
DÉMOCRATIE   ET   LIBERTÉ ,Fleurance (32501)
DÉMOCRATIE   ET   RÉPUBLIQUE ,Metz (57000)
DES VILLAGES DANS LA VILLE ,Saint-Maur-des-Fossés (94100)
DESSINONS L’AVENIR AVEC ALAIN GIRARD,Crosne (91560)
DROIT   DE   CHASSE,Coudoux (13111)
DROITE   LIBÉRALE   CHRÉTIENNE ,Lyon (69002)
ÉCOLOGIE    SOCIALE ,La Roche-sur-Yon (85016)
ÉDEN - RÉPUBLIQUE   ET   DÉMOCRATIE,Grand-Couronne (76530)
ÉNERGIE    FRANCE ,Paris (75008)
ÉNERGIES    DÉMOCRATES ,Paris (75007)
ENSEMBLE   POUR   GONESSE ,Gonesse (95500)
ENSEMBLE   POUR   LA   FRANCE,Charvieu-Chavagneux (38230)
ENSEMBLE   POUR   L’AVENIR ,Nouvelle-Calédonie
ENTENTE      CITOYENNE,Arcueil (94110)
ENTENTE RÉPUBLICAINE - LE PARTI AZURÉEN,Nice (06300)
ESPÉRANTO LANGUE FÉDÉRALE NEUTRE SUD-EST,Bourg-Saint-Maurice  (73700)
EUROPE DÉMOCRATIE ESPÉRANTO EST ,Lapoutroie (68650)
EUROPE DÉMOCRATIE ESPÉRANTO OUEST ,Saint-Brieuc (22000)
EUROPE DÉMOCRATIE ESPÉRANTO RÉGION ILE-DE-FRANCE,Paris (75012)
FETIA      API,Tahiti (Polynésie française)
FONSORBES   CITOYENNETÉ   2000 ,Fonsorbes (31470)
FORUM DES RÉPUBLICAINS SOCIAUX ,Rambouillet  (78120)
FORUM   EUROPÉEN   CLERMONT-FERRAND   AUVERGNE ,Clermont-Ferrand (63000)
FORUM INITIATIVE ET LIBERTÉS ,Laval (53000)
FRANCE    9 ,Paris (75016)
FRANCE D’AUJOURD’HUI ET DE DEMAIN ,Toulouse (31400)
FRANCE     MODERNE ,Paris (75008)
FRANCHEVILLE    AU    CŒUR,Francheville (69340)
FRANKIZ   BREIZH/LIBERTÉ   BRETAGNE ,Brest (29200)
FREE-DOM     ,Saint-Denis (97473)
FRONT      NATIONAL ,Saint-Cloud (92210)
FUTURS - MOUVEMENT DES REFONDATEURS COMMUNISTES,Saint-Denis (93200)
GAUCHE     CITOYENNE ,Martigues  (13500)
GAUCHE    RÉFORMATRICE ,Bourges (18000)
GÉNÉRATION ÉCOLOGIE - LES BLEUS ,Paris (75019)
GRENOBLE      2001,Grenoble (38000)
GRENOBLE EST À VOUS ,Grenoble (38000)
GROUPE D’ACTION ÉCONOMIQUE ET SOCIALE,Marseille (13002)
GROUPE   D’ÉTUDES   MUNICIPALES   D’EURE-ET-LOIR ,Châteaudun (28203)
GROUPEMENT D’INTÉRÊT POLITIQUE DÉMOCRATIE ACTIVE,Paris (75001)
GROUPEMENT      FRANCE-RÉUNION,Le Tampon (97430)
GUADELOUPE     RESPECT,Goyave (97128)
GUADELOUPE UNIE SOCIALISME ET RÉALITÉS ,Baie-Mahault (97122)
GWADLOUP     DOUBOUT ,Pointe-à-Pitre (97110)
IDÉES-FORCE    ,Le Plessis-Robinson (92350)
IDENTITÉ   ET   RÉPUBLIQUE ,Saint-Paul (97460)
ID-EST DES IDÉES À L’EST DE PARIS ,Nogent-sur-Marne  (94130)
IMPÔT BAISSE NET ,La Saline (97422)
INDRE      DÉMOCRATIE,Châteauroux (36000)
INITIATIVE     RÉPUBLICAINE ,Paris (75020)
"INITIATIVES POUR UNE DÉMOCRATIE EUROPÉENNE, ÉCONOMIQUE ET SOCIALE",Le Plessis-Trévise (94420)
LA   DROITE   LIBRE,Paris (75019)
LA FRANCE D’EN BAS ,Chaumontel (95270)
LA FRANCE EN TÊTE ,Orange (84100)
LA    RELÈVE ,Saint-André (97440)
LA RESTAURATION NATIONALE,Paris (75018)
LA VOLONTÉ DE VIVRE ENSEMBLE ,Mulhouse  (68200)
L’ACTION,Sainte-Marie (97230)
L’ACTION   AVEC   GILBERT   MEYER,Appenwihr  (68280)
L’ALLIANCE      ,Nouméa Magenta (98803)
L’ALLIANCE     RÉGIONALE ,Lille (59000)
LE 15e POUR PARIS ,Paris (75116)
LE   PARTI   GAULLISTE ,Le Tampon (97430)
LE TRÈFLE - LES NOUVEAUX ÉCOLOGISTES - HOMME NATURE ANIMAUX ,Marseille (13008)
LES     ALTERNATIFS ,Paris (75011)
LES    VERTS ,Paris (75010)
