Titre,Mandat parlementaire,Parti politique d'adhésion,Circonscription,Candidat,Candidat
Jean-Marc Ayrault,Député,Parti socialiste,Loire-Atlantique (03),Non,Ne se représente pas
Dominique Raimbourg,Député,Parti socialiste,Loire-Atlantique (04),Non,N'accède pas au second tour
Michel Ménard,Député,Parti socialiste,Loire-Atlantique (05),Non,N'accède pas au second tour
Yves Daniel,Député,Parti socialiste,Loire-Atlantique (06),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Christophe Priou,Député,Les Républicains,Loire-Atlantique (07),Non,Ne se représente pas
Marie-Odile Bouillé,Député,Parti socialiste,Loire-Atlantique (08),Non,Ne se représente pas
Monique Rabin,Député,Parti socialiste,Loire-Atlantique (09),Non,N'accède pas au second tour
Sophie Errante,Député,Parti socialiste,Loire-Atlantique (10),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Karine Daniel,Député,Parti socialiste,Loire-Atlantique (3),Non,N'accède pas au second tour
Olivier Carré,Député,Les Républicains,Loiret (1),Non,Ne se représente pas
Serge Grouard,Député,Les Républicains,Loiret (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Claude de Ganay,Député,Les Républicains,Loiret (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-Pierre Door,Député,Les Républicains,Loiret (4),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Marianne Dubois,Député,Les Républicains,Loiret (5),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Valérie Corre,Député,Parti socialiste,Loiret (6),Non,N'accède pas au second tour
Dominique Orliac,Député,Parti Radical de Gauche,Lot (1),Non,N'accède pas au second tour
Jean Launay,Député,Parti socialiste,Lot (2),Non,Ne se représente pas
Lucette Lousteau,Député,Parti socialiste,Lot-et-Garonne (1),Non,N'accède pas au second tour
Jean-Louis Costes,Député,Les Républicains,Lot-et-Garonne (3),Non,N'accède pas au second tour
Pierre Morel-A-L'Huissier,Député,Les Républicains,Lozère (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Luc Belot,Député,Parti socialiste,Maine-et-Loire (1),Non,N'accède pas au second tour
Marc Goua,Député,Parti socialiste,Maine-et-Loire (2),Non,Se présente comme suppléant
Jean-Charles Taugourdeau,Député,Les Républicains,Maine-et-Loire (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Michel Piron,Député,UDI,Maine-et-Loire (4),Non,Ne se représente pas
Gilles Bourdouleix,Député,Centre national des indépendants et paysans,Maine-et-Loire (5),Non,Se présente comme suppléant
Serge Bardy,Député,Parti socialiste,Maine-et-Loire (6),Non,N'accède pas au second tour
Marc Laffineur,Député,Les Républicains,Maine-et-Loire (7),Non,Ne se représente pas
Philippe Gosselin,Député,Les Républicains,Manche (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Guénhaël Huet,Député,Les Républicains,Manche (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Stéphane Travert,Député,Parti socialiste,Manche (3),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Bernard Cazeneuve,Député,Parti socialiste,Manche (4),Non,Ne se représente pas
Arnaud Robinet,Député,Les Républicains,Marne (1),Non,Se présente comme suppléant
Catherine Vautrin,Député,Les Républicains,Marne (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Philippe Armand Martin,Député,Les Républicains,Marne (3),Non,Ne se représente pas
Benoist Apparu,Député,Les Républicains,Marne (4),Non,Ne se représente pas
Charles de Courson,Député,Nouveau Centre/UDI,Marne (5),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Alfred Marie-Jeanne,Député,Mouvement indépendantiste martiniquais,Martinique (1),Non,Ne se représente pas
Bruno Nestor Azérot,Député,Divers gauche,Martinique (2),Oui,Accède au second tour des législatives sous l'étiquette Divers gauche
Serge Letchimy,Député,Parti Progressiste Martiniquais,Martinique (3),Oui,Accède au second tour des législatives sous l'étiquette Divers gauche
Jean-Philippe Nilor,Député,Mouvement indépendantiste martiniquais,Martinique (4),Oui,Accède au second tour des législatives sous l'étiquette Régionaliste
Guillaume Garot,Député,Parti socialiste,Mayenne (1),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Guillaume Chevrollier,Député,Les Républicains,Mayenne (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Yannick Favennec,Député,Alliance Centriste/UDI,Mayenne (3),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Boinali Said,Député,Sans étiquette,Mayotte (1),Non,N'accède pas au second tour
Ibrahim Aboubacar,Député,Parti socialiste,Mayotte (2),Non,N'accède pas au second tour
Chaynesse Khirouni,Député,Parti socialiste,Meurthe-et-Moselle (1),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Hervé Féron,Député,Parti socialiste,Meurthe-et-Moselle (2),Non,N'accède pas au second tour
Jacques Lamblin,Député,Les Républicains,Meurthe-et-Moselle (4),Non,Se présente comme suppléant
Dominique Potier,Député,Parti socialiste,Meurthe-et-Moselle (5),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Jean-Yves Le Déaut,Député,Parti socialiste,Meurthe-et-Moselle (6),Non,Ne se représente pas
Bertrand Pancher,Député,Parti Radical/UDI,Meuse (1),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Jean-Louis Dumont,Député,Parti socialiste,Meuse (2),Non,N'accède pas au second tour
Hervé Pellois,Député,Divers gauche,Morbihan (1),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Philippe Le Ray,Député,Les Républicains,Morbihan (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-Pierre Le Roch,Député,Parti socialiste,Morbihan (3),Non,Ne se représente pas
Gwendal Rouillard,Député,La République En Marche,Morbihan (5),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Philippe Noguès,Député,Sans étiquette,Morbihan (6),Non,N'accède pas au second tour
Aurélie Filippetti,Député,Parti socialiste,Moselle (1),Non,N'accède pas au second tour
Denis Jacquat,Député,Les Républicains,Moselle (2),Non,Se présente comme suppléant
Marie-Jo Zimmermann,Député,Les Républicains,Moselle (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Alain Marty,Député,Les Républicains,Moselle (4),Non,Ne se représente pas
Céleste Lett,Député,Les Républicains,Moselle (5),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Laurent Kalinowski,Député,Parti socialiste,Moselle (6),Non,Ne se représente pas
Paola Zanetti,Député,Parti socialiste,Moselle (7),Non,N'accède pas au second tour
Michel Liebgott,Député,Parti socialiste,Moselle (8),Non,Se présente comme suppléant
Patrick Weiten,Député,UDI,Moselle (9),Non,Ne se représente pas
Gaëtan Gorce,Sénateur,Parti socialiste,Nièvre,Non,N'accède pas au second tour
Martine Carrillon-Couvreur,Député,Parti socialiste,Nièvre (1),Non,Ne se représente pas
Christian Paul,Député,Parti socialiste,Nièvre (2),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Audrey Linkenheld,Député,Parti socialiste,Nord (02),Non,N'accède pas au second tour
Rémi Pauvros,Député,Parti socialiste,Nord (03),Non,N'accède pas au second tour
Marc-Philippe Daubresse,Député,Les Républicains,Nord (04),Non,Se présente comme suppléant
Sébastien Huyghe,Député,Les Républicains,Nord (05),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Thierry Lazaro,Député,Les Républicains,Nord (06),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Francis Vercamer,Député,Nouveau Centre/UDI,Nord (07),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Dominique Baert,Député,Parti socialiste,Nord (08),Non,Ne se représente pas
Bernard Gérard,Député,Les Républicains,Nord (09),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Vincent Ledoux,Député,Les Républicains,Nord (10),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Yves Durand,Député,Parti socialiste,Nord (11),Non,Ne se représente pas
Christian Bataille,Député,Parti socialiste,Nord (12),Non,N'accède pas au second tour
Christian Hutin,Député,République Moderne,Nord (13),Oui,Accède au second tour des législatives sous l'étiquette Divers gauche
Jean-Pierre Decool,Député,Droite Populaire,Nord (14),Non,Ne se représente pas
Jean-Pierre Allossery,Député,Parti socialiste,Nord (15),Non,Ne se représente pas
Jean-Jacques Candelier,Député,Parti Communiste Français,Nord (16),Non,Ne se représente pas
Marc Dolez,Député,Divers gauche,Nord (17),Non,Ne se représente pas
François-Xavier Villain,Député,UDI,Nord (18),Non,Ne se représente pas
Anne-Lise Dufour-Tonini,Député,Parti socialiste,Nord (19),Non,N'accède pas au second tour
Alain Bocquet,Député,Parti Communiste Français,Nord (20),Non,Se présente comme suppléant
Laurent Degallaix,Député,Parti Radical/UDI,Nord (21),Non,Se présente comme suppléant
Sylvie Goddyn,Député Européen,Front National,Nord-Ouest,Oui,Accède au second tour des législatives sous l'étiquette Front National
Marine Le Pen,Député Européen,Front National,Nord-Ouest,Oui,Accède au second tour des législatives sous l'étiquette Front National
Mylène Troszczynski,Député Européen,Front National,Nord-Ouest,Non,N'accède pas au second tour
Sonia Lagarde,Député,UDI,Nouvelle-Calédonie (1),Non,Ne se représente pas
Philippe Gomès,Député,UDI,Nouvelle-Calédonie (2),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Olivier Dassault,Député,Les Républicains,Oise (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-François Mancel,Député,Les Républicains,Oise (2),Non,Ne se représente pas
Michel Françaix,Député,Parti socialiste,Oise (3),Non,N'accède pas au second tour
Éric Woerth,Député,Les Républicains,Oise (4),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Lucien Degauchy,Député,Les Républicains,Oise (5),Non,Se présente comme suppléant
Patrice Carvalho,Député,Parti Communiste Français,Oise (6),Non,N'accède pas au second tour
Édouard Courtial,Député,Les Républicains,Oise (7),Non,Se présente comme suppléant
Joaquim Pueyo,Député,Parti socialiste,Orne (1),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Véronique Louwagie,Député,Les Républicains,Orne (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Yves Goasdoué,Député,Divers gauche,Orne (3),Non,Ne se représente pas
Leila Aïchi,Sénateur,Europe Écologie Les Verts,Paris,Oui,Accède au second tour des législatives sous l'étiquette Divers droite
Pierre Lellouche,Député,Les Républicains,Paris (01),Non,Ne se représente pas
François Fillon,Député,Les Républicains,Paris (02),Non,Ne se représente pas
Annick Lepetit,Député,Parti socialiste,Paris (03),Non,N'accède pas au second tour
Bernard Debré,Député,Les Républicains,Paris (04),Non,Ne se représente pas
Seybah Dagoma,Député,Parti socialiste,Paris (05),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Cécile Duflot,Député,Europe Écologie Les Verts,Paris (06),Non,N'accède pas au second tour
Patrick Bloche,Député,Parti socialiste,Paris (07),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Sandrine Mazetier,Député,Parti socialiste,Paris (08),Non,N'accède pas au second tour
Denis Baupin,Député,Sans étiquette,Paris (10),Non,Ne se représente pas
Pascal Cherki,Député,Parti socialiste,Paris (11),Non,N'accède pas au second tour
Philippe Goujon,Député,Les Républicains,Paris (12),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-François Lamour,Député,Les Républicains,Paris (13),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Claude Goasguen,Député,Les Républicains,Paris (14),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
George Pau-Langevin,Député,Parti socialiste,Paris (15),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Jean-Christophe Cambadélis,Député,Parti socialiste,Paris (16),Non,N'accède pas au second tour
Daniel Vaillant,Député,Parti socialiste,Paris (17),Non,N'accède pas au second tour
Jean-Jacques Cottel,Député,Parti socialiste,Pas-de-Calais (01),Non,N'accède pas au second tour
Jacqueline Maquet,Député,Parti socialiste,Pas-de-Calais (02),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Guy Delcourt,Député,Parti socialiste,Pas-de-Calais (03),Non,Ne se représente pas
Daniel Fasquelle,Député,Les Républicains,Pas-de-Calais (04),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Frédéric Cuvillier,Député,Parti socialiste,Pas-de-Calais (05),Non,Ne se représente pas
Brigitte Bourguignon,Député,Parti socialiste,Pas-de-Calais (06),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Yann Capet,Député,Parti socialiste,Pas-de-Calais (07),Non,N'accède pas au second tour
Michel Lefait,Député,Parti socialiste,Pas-de-Calais (08),Non,Ne se représente pas
Stéphane Saint-André,Député,Parti Radical de Gauche,Pas-de-Calais (09),Non,N'accède pas au second tour
Serge Janquin,Député,Parti socialiste,Pas-de-Calais (10),Non,Ne se représente pas
Philippe Kemel,Député,Parti socialiste,Pas-de-Calais (11),Non,N'accède pas au second tour
Nicolas Bays,Député,Parti socialiste,Pas-de-Calais (12),Non,Ne se représente pas
Maïna Sage,Député,Tapura Huiraatira/UDI,Polynésie Française (1),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Jonas Tahuaitu,Député,UDI,Polynésie française (2),Non,Ne se représente pas
Jean-Paul Tuaiva,Député,UDI,Polynésie Française (3),Non,Ne se représente pas
Odile Saugues,Député,Parti socialiste,Puy-de-Dôme (1),Non,Ne se représente pas
Christine Pires Beaune,Député,Parti socialiste,Puy-de-Dôme (2),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Danielle Auroi,Député,Europe Écologie Les Verts,Puy-de-Dôme (3),Non,Ne se représente pas
Jean-Paul Bacquet,Député,Parti socialiste,Puy-de-Dôme (4),Non,Ne se représente pas
André Chassaigne,Député,Parti Communiste Français,Puy-de-Dôme (5),Oui,Accède au second tour des législatives sous l'étiquette Parti communiste français
Martine Lignières-Cassou,Député,Parti socialiste,Pyrénées-Atlantiques (1),Non,Ne se représente pas
Nathalie Chabanne,Député,Parti socialiste,Pyrénées-Atlantiques (2),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
David Habib,Député,Parti socialiste,Pyrénées-Atlantiques (3),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Jean Lassalle,Député,Mouvement Démocrate (MoDEM),Pyrénées-Atlantiques (4),Oui,Accède au second tour des législatives sous l'étiquette Divers droite
Colette Capdevielle,Député,Parti socialiste,Pyrénées-Atlantiques (5),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Sylviane Alaux,Député,Parti socialiste,Pyrénées-Atlantiques (6),Non,N'accède pas au second tour
Jacques Cresta,Député,Parti socialiste,Pyrénées-Orientales (1),Non,Ne se représente pas
Fernand Siré,Député,Les Républicains,Pyrénées-Orientales (2),Non,N'accède pas au second tour
Pierre Aylagas,Député,Parti socialiste,Pyrénées-Orientales (4),Non,Ne se représente pas
Ericka Bareigts,Député,Parti socialiste,Réunion (1),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Huguette Bello,Député,Pour La Réunion,Réunion (2),Oui,Accède au second tour des législatives sous l'étiquette Divers gauche
Jean Jacques Vlody,Député,Parti socialiste,Réunion (3),Non,N'accède pas au second tour
Patrick Lebreton,Député,Parti socialiste,Réunion (4),Non,Se présente comme suppléant
Jean-Claude Fruteau,Député,Parti socialiste,Réunion (5),Non,Ne se représente pas
Monique Orphé,Député,Parti socialiste,Réunion (6),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Thierry Robert,Député,La politique autrement,Réunion (7),Oui,Accède au second tour des législatives sous l'étiquette Modem
Thierry Braillard,Député,Parti socialiste,Rhône (01),Non,Ne se représente pas
Pierre-Alain Muet,Député,Parti socialiste,Rhône (02),Non,Ne se représente pas
Jean-Louis Touraine,Député,Parti socialiste,Rhône (03),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Dominique Nachury,Député,Les Républicains,Rhône (04),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Philippe Cochet,Député,Les Républicains,Rhône (05),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Pascale Crozon,Député,Parti socialiste,Rhône (06),Non,Ne se représente pas
Hélène Geoffroy,Député,Parti socialiste,Rhône (07),Non,Ne se représente pas
Patrice Verchère,Député,Les Républicains,Rhône (08),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Bernard Perrut,Député,Les Républicains,Rhône (09),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Christophe Guilloteau,Député,Les Républicains,Rhône (10),Non,Ne se représente pas
Georges Fenech,Député,Les Républicains,Rhône (11),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Michel Terrot,Député,Les Républicains,Rhône (12),Non,Ne se représente pas
Philippe Meunier,Député,Les Républicains,Rhône (13),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Yves Blein,Député,Parti socialiste,Rhône (14),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Daniel Gibbes,Député,Les Républicains,Saint-Barthélemy et Saint-Martin (1),Non,Ne se représente pas
Stéphane Claireaux,Député,Parti Radical de Gauche,Saint-Pierre-et-Miquelon (1),Non,Se présente comme suppléant
Thomas Thévenoud,Député,Sans étiquette,Saône-et-Loire (1),Non,Ne se représente pas
Edith Gueugneau,Député,Divers gauche,Saône-et-Loire (2),Non,Ne se représente pas
Philippe Baumel,Député,Parti socialiste,Saône-et-Loire (3),Non,N'accède pas au second tour
Cécile Untermaier,Député,Parti socialiste,Saône-et-Loire (4),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Christophe Sirugue,Député,Parti socialiste,Saône-et-Loire (5),Non,N'accède pas au second tour
Françoise Dubois,Député,Parti socialiste,Sarthe (1),Non,N'accède pas au second tour
Marietta Karamanli,Député,Parti socialiste,Sarthe (2),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Guy-Michel Chauveau,Député,Divers gauche,Sarthe (3),Non,Ne se représente pas
Stéphane Le Foll,Député,Parti socialiste,Sarthe (4),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Dominique Le Mèner,Député,Les Républicains,Sarthe (5),Non,Ne se représente pas
Dominique Dord,Député,Les Républicains,Savoie (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Hervé Gaymard,Député,Les Républicains,Savoie (2),Non,Ne se représente pas
Béatrice Santais,Député,Parti socialiste,Savoie (3),Non,Ne se représente pas
Bernadette Laclais,Député,Parti socialiste,Savoie (4),Oui,Accède au second tour des législatives sous l'étiquette Divers gauche
Jean-Claude Mignon,Député,Les Républicains,Seine-et-Marne (01),Non,Ne se représente pas
Valérie Lacroute,Député,Les Républicains,Seine-et-Marne (02),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Yves Jégo,Député,Parti Radical/UDI,Seine-et-Marne (03),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Christian Jacob,Député,Les Républicains,Seine-et-Marne (04),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Franck Riester,Député,Les Républicains,Seine-et-Marne (05),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-François Copé,Député,Les Républicains,Seine-et-Marne (06),Non,Ne se représente pas
Yves Albarello,Député,Les Républicains,Seine-et-Marne (07),Non,N'accède pas au second tour
Eduardo Rihan Cypel,Député,Parti socialiste,Seine-et-Marne (08),Non,N'accède pas au second tour
Guy Geoffroy,Député,Les Républicains,Seine-et-Marne (09),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Emeric Brehier,Député,Parti socialiste,Seine-et-Marne (10),Non,Ne se représente pas
Olivier Faure,Député,Parti socialiste,Seine-et-Marne (11),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Valérie Fourneyron,Député,Parti socialiste,Seine-Maritime (01),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Françoise Guégot,Député,Les Républicains,Seine-Maritime (02),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Luce Pane,Député,Parti socialiste,Seine-Maritime (03),Non,N'accède pas au second tour
Guillaume Bachelay,Député,Parti socialiste,Seine-Maritime (04),Non,N'accède pas au second tour
Christophe Bouillon,Député,Parti socialiste,Seine-Maritime (05),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Catherine Troallic,Député,Parti socialiste,Seine-Maritime (08),Non,N'accède pas au second tour
Estelle Grelier,Député,Parti socialiste,Seine-Maritime (09),Non,N'accède pas au second tour
Dominique Chauvel,Député,Parti socialiste,Seine-Maritime (10),Non,Ne se représente pas
Marie Le Vern,Député,Parti socialiste,Seine-Maritime (6),Non,N'accède pas au second tour
Bruno Le Roux,Député,Parti socialiste,Seine-Saint-Denis (01),Non,Ne se représente pas
Mathieu Hanotin,Député,Parti socialiste,Seine-Saint-Denis (02),Non,N'accède pas au second tour
Michel Pajon,Député,Parti socialiste,Seine-Saint-Denis (03),Non,Ne se représente pas
Marie-George Buffet,Député,Parti Communiste Français,Seine-Saint-Denis (04),Oui,Accède au second tour des législatives sous l'étiquette Parti communiste français
Jean-Christophe Lagarde,Député,Force Européenne Démocrate/UDI,Seine-Saint-Denis (05),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Élisabeth Guigou,Député,Parti socialiste,Seine-Saint-Denis (06),Non,N'accède pas au second tour
Razzy Hammadi,Député,Parti socialiste,Seine-Saint-Denis (07),Non,N'accède pas au second tour
Elisabeth Pochon,Député,Parti socialiste,Seine-Saint-Denis (08),Non,N'accède pas au second tour
Claude Bartolone,Député,Parti socialiste,Seine-Saint-Denis (09),Non,Ne se représente pas
Daniel Goldberg,Député,Parti socialiste,Seine-Saint-Denis (10),Non,N'accède pas au second tour
François Asensi,Député,Fédération pour une alternative sociale et écologique,Seine-Saint-Denis (11),Non,Se présente comme suppléant
Pascal Popelin,Député,Parti socialiste,Seine-Saint-Denis (12),Non,Ne se représente pas
Barbara Pompili,Député,La République En Marche,Somme (2),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Jean-Claude Buisine,Député,Parti socialiste,Somme (3),Non,N'accède pas au second tour
Alain Gest,Député,Les Républicains,Somme (4),Non,Se présente comme suppléant
Louis Aliot,Député Européen,Front National,Sud-Ouest,Oui,Accède au second tour des législatives sous l'étiquette Front National
Jean-Luc Mélenchon,Député Européen,Parti De Gauche,Sud-Ouest,Oui,Accède au second tour des législatives sous l'étiquette France Insoumise
Joëlle Mélin,Député Européen,Front National,Sud-Ouest,Non,Se présente comme suppléant
Philippe Folliot,Député,Alliance Centriste/UDI,Tarn (1),Oui,Accède au second tour des législatives sous l'étiquette Divers droite
Jacques Valax,Député,Parti socialiste,Tarn (2),Non,Ne se représente pas
Linda Gourjade,Député,Parti socialiste,Tarn (3),Non,N'accède pas au second tour
Valérie Rabault,Député,Parti socialiste,Tarn-et-Garonne (1),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Sylvia Pinel,Député,Parti Radical de Gauche,Tarn-et-Garonne (2),Oui,Accède au second tour des législatives sous l'étiquette Parti radical de gauche
Damien Meslot,Député,Les Républicains,Territoire de Belfort (1),Non,Se présente comme suppléant
Michel Zumkeller,Député,Parti Radical/UDI,Territoire de Belfort (2),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Philippe Houillon,Député,Les Républicains,Val-d'Oise (01),Non,Se présente comme suppléant
Axel Poniatowski,Député,Les Républicains,Val-d'Oise (02),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-Noël Carpentier,Député,Mouvement Des Progressistes,Val-d'Oise (03),Non,Ne se représente pas
Gérard Sebaoun,Député,Parti socialiste,Val-d'Oise (04),Non,Ne se représente pas
Philippe Doucet,Député,Parti socialiste,Val-d'Oise (05),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
François Scellier,Député,Les Républicains,Val-d'Oise (06),Non,Ne se représente pas
Jérôme Chartier,Député,Les Républicains,Val-d'Oise (07),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
François Pupponi,Député,Parti socialiste,Val-d'Oise (08),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Jean-Pierre Blazy,Député,Parti socialiste,Val-d'Oise (09),Non,Ne se représente pas
Dominique Lefebvre,Député,Parti socialiste,Val-d'Oise (10),Non,N'accède pas au second tour
Luc Carvounas,Sénateur,Parti socialiste,Val-de-Marne,Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Sylvain Berrios,Député,Les Républicains,Val-de-Marne (01),Non,Ne se représente pas
Laurent Cathala,Député,Parti socialiste,Val-de-Marne (02),Non,Ne se représente pas
Roger-Gérard Schwartzenberg,Député,Parti Radical de Gauche,Val-de-Marne (03),Non,Ne se représente pas
Jacques Alain Bénisti,Député,Les Républicains,Val-de-Marne (04),Non,Ne se représente pas
Gilles Carrez,Député,Les Républicains,Val-de-Marne (05),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Laurence Abeille,Député,Europe Écologie Les Verts,Val-de-Marne (06),Non,N'accède pas au second tour
Jean-Jacques Bridey,Député,Parti socialiste,Val-de-Marne (07),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Michel Herbillon,Député,Les Républicains,Val-de-Marne (08),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
René Rouquet,Député,Parti socialiste,Val-de-Marne (09),Non,Ne se représente pas
Jean-Luc Laurent,Député,Mouvement Républicain et Citoyen,Val-de-Marne (10),Non,N'accède pas au second tour
Jean-Yves Le Bouillonnec,Député,Parti socialiste,Val-de-Marne (11),Non,Ne se représente pas
Geneviève Levy,Député,Les Républicains,Var (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Philippe Vitel,Député,Les Républicains,Var (2),Non,N'accède pas au second tour
Jean-Pierre Giran,Député,Les Républicains,Var (3),Non,Ne se représente pas
Jean-Michel Couve,Député,Les Républicains,Var (4),Non,Ne se représente pas
Georges Ginesta,Député,Les Républicains,Var (5),Non,Ne se représente pas
Josette Pons,Député,Les Républicains,Var (6),Non,Se présente comme suppléant
Jean-Sébastien Vialatte,Député,Les Républicains,Var (7),Non,N'accède pas au second tour
Olivier Audibert Troin,Député,Les Républicains,Var (8),Non,N'accède pas au second tour
Michèle Fournier-Armand,Député,Parti socialiste,Vaucluse (1),Non,Ne se représente pas
Jean-Claude Bouchet,Député,Les Républicains,Vaucluse (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Marion Maréchal-Le Pen,Député,Front National,Vaucluse (3),Non,Ne se représente pas
Jacques Bompard,Député,Ligue Du Sud,Vaucluse (4),Oui,Accède au second tour des législatives sous l'étiquette Extrême droite
Julien Aubert,Député,Les Républicains,Vaucluse (5),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Alain Leboeuf,Député,Les Républicains,Vendée (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Sylviane Bulteau,Député,Parti socialiste,Vendée (2),Non,N'accède pas au second tour
Yannick Moreau,Député,Les Républicains,Vendée (3),Non,Se présente comme suppléant
Véronique Besse,Député,Mouvement Pour la France,Vendée (4),Non,Ne se représente pas
Hugues Fourage,Député,Parti socialiste,Vendée (5),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Alain Claeys,Député,Parti socialiste,Vienne (1),Non,Ne se représente pas
Catherine Coutelle,Député,Parti socialiste,Vienne (2),Non,Ne se représente pas
Jean-Michel Clément,Député,Parti socialiste,Vienne (3),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Véronique Massonneau,Député,Union des Démocrates et des Ecologistes,Vienne (4),Non,N'accède pas au second tour
Michel Heinrich,Député,Les Républicains,Vosges (1),Non,Ne se représente pas
