DÉNOMINATION DE LA FORMATION POLITIQUE,"LOCALISATION
du siège"
,
100% ASNIERES,92600
"A GAUCHE, BESOIN D'OPTIMISME",75012
A STRASBOURG,67000
A TI'A PORINETIA - LE RASSEMBLEMENT DES POLYNÉSIENS,98718
ACTION ILE-DE-FRANCE,75016
ACTION SAVOIE PREMIÈRE,73000
ACTION TANK,78250
ADSAV ! LE PARTI DU PEUPLE BRETON,22000
AGIR AU QUOTIDIEN AVEC NICOLAS DUPONT-AIGNAN,91330
AGIR ENSEMBLE,95330
AGIR ENSEMBLE POUR LEVALLOIS,92300
AGIR PARIS - PARIS AU CENTRE,75018
AGIR POUR DEMAIN,81100
"AI'A.-API ""TERRE NOUVELLE""",98709
AIMER ANGERS,49100
ALBERTVILLE RENOUVEAU,73200
ALLEZ LA FRANCE,75004
ALLIANCE CENTRISTE,75006
ALLIANCE POPULAIRE POUR LE CALAISIS,62100
ALLIANCE POUR LA SOUVERAINETÉ DE LA FRANCE,92100
ALLIANCE ROYALE,75017
ALTERNANCES PARISIENNES,75004
ALTERNATIVE DÉMOCRATIE SOCIALISME,87000
ALTERNATIVES DÉMOCRATIQUES,69440
AMBITION CITOYENNE ET SOLIDAIRE POUR L'YONNE,89000
ANGERS 2014,49000
ANGOULÊME AMBITION,16000
ARCHIPEL DEMAIN,97500
ARGENTEUIL QUE NOUS AIMONS,95100
ARIAS 94,94290
ASNIÈRES DEBOUT,92600
ASSOCIATION 6ÈME UNION,75261
ASSOCIATION CONSTRUIRE L'AVENIR,78300
ASSOCIATION DE DÉFENSE DES SANARYENS,83110
ASSOCIATION DE SOUTIEN À L'ACTION DE JEAN FRANÇOIS LAMOUR,75015
ASSOCIATION DE SOUTIEN À L'ACTION DE NICOLAS SARKOZY,75008
ASSOCIATION DE SOUTIEN À L'ACTION D'ÉRIC WOERTH,60300
ASSOCIATION DÉMOCRATIE ET LIBERTÉ,32500
ASSOCIATION DES AMIS DE ERIC CIOTTI,6300
ASSOCIATION DES BÂTISSEURS DE GUYANE,
ASSOCIATION DES COMMUNISTES UNITAIRES,93200
ASSOCIATION DES OBJECTEURS DE CROISSANCE,94170
ASSOCIATION DROITE DE FRANCE,75006
ASSOCIATION FRANÇAIS DE l'ÉTRANGER - CITOYENS EN MOUVEMENT,78670
"ASSOCIATION MÛRS- ERIGNÉ, ENSEMBLE",49610
ASSOCIATION NATIONALE DES AMIS DE NICOLAS SARKOZY,33520
ASSOCIATION PARIS 15,75015
ASSOCIATION PCMA,75005
ASSOCIATION POUR LA DÉMOCRATIE L'ÉCOLOGIE ET LA SOLIDARITÉ,38000
ASSOCIATION POUR LA RÉFORME,75007
ASSOCIATION POUR L'AVENIR DE LA HAUTE SAINTONGE ET DE LA SAINTONGE ATLANTIQUE,17110
ASSOCIATION PSLE - NOUVEAU CENTRE,75007
AVEC BLM,27000
AVENIR SAINT JULIEN,10800
AVENIR SUD 77,77300
BASSIN A CŒUR,33120
BÂTIR LE PAYS MARTINIQUE,97232
BEAUCHAMP RENOUVEAU,95250
BLOC IDENTITAIRE - MOUVEMENT SOCIAL EUROPEEN,6301
BONNE RÉPUBLIQUE,11000
BOUGEONS-NOUS,38400
BREIZH EUROPA,35000
CALÉDONIE ENSEMBLE,98807
CAP SUR L'AVENIR,97500
CAP SUR L'AVENIR 13,13005
CAR CHÂTEAUDUN ACTIONS RENOUVEAU,28200
CENTRE HUMANISTE EUROPÉEN,92240
CENTRE NATIONAL DES INDÉPENDANTS ET PAYSANS,75008
"CHALON, ALTERNATIVE 2014",71100
CHAMBERY AUTREMENT,73000
CHANGEONS NANTERRE POUR UNE VIE MEILLEURE,92000
CHANGEONS VAUJOURS,93410
CHANGEONS VILLEURBANNE,69100
CHAROLAIS BRIONNAIS EN MOUVEMENT,71600
CHASSE PÊCHE NATURE ET TRADITIONS,64075
CHATENAY MALABRY À PLEINE VIE,92290
CITOYENNETÉ ACTION PARTICIPATION POUR LE 21ÈME SIÈCLE,92514
CITOYENS INDIGNÉS DU 94,94320
COLLECTIF DES INKORUPTIBLES,97139
COMITÉ CENTRAL BONAPARTISTE,20000
COMITÉ D'ACTION ET DE RÉFLEXION DÉPARTEMENTALE,93360
COMITE DE SOUTIEN A FRANCINE OCCIS,95250
COMITÉ DE SOUTIEN À PATRICK BOBET,33110
COMITÉ DES CITOYENS MONTREUILLOIS,93100
COMITÉ POUR SAINT- MICHEL,91240
COMMUNISTES,75014
CONVENTION CITOYENNE,13007
CONVERGENCES CHAMPIGNY,94500
CONVERGENCES-GILLES CARREZ,94500
COTELEC,92210
"COURANT DES POISSONS ROSES ""CPR""",92500
DEBOUT LA RÉPUBLIQUE,91330
DÉMOCRATIE ET RÉPUBLIQUE,57000
DES IDÉES ET DES REVES,75003
DIALOGUE & INITIATIVE,75006
DROITE SOCIALE,97400
DROITURE,97133
ECOLOGIE IVRY-SEINE AMONT,94200
ÉCOUTER POUR AGIR,92144
ÉCRIVONS UNE NOUVELLE PAGE (E.N.P),97200
ENGAGÉS POUR LYON AVEC UNE AMBITION NOUVELLE,69002
"ENSEMBLE, CROSNE, ENCORE ET TOUJOURS",91560
ENSEMBLE POUR GONESSE,95500
ENSEMBLE POUR LA 7ème,91170
ENSEMBLE POUR LA FRANCE,38230
ENSEMBLE POUR LYON,69003
ENSEMBLE POUR NOGENT,94130
"ENSEMBLE, REDRESSONS LA FRANCE",51500
ENTENTE CITOYENNE,94110
ENTENTE RÉPUBLICAINE DE NICE,6000
ESPRIT NEUF,69008
EUROPE ÉCOLOGIE LES VERTS,75010
FAÇONNONS VÉLIZY AUTREMENT,78140
FAIRE BOUGER STRASBOURG AVEC FRANCOIS LOOS,67000
