Titre,Circonscription,Mandat parlementaire,Parti politique d'adhésion
Karima Delli,Nord-Ouest,Député Européen,Europe Écologie Les Verts
Michelle Demessine,Nord,Sénateur,Parti Communiste Français
Catherine Deroche,Maine-et-Loire,Sénateur,Les Républicains
Jacky Deromedi,Français établis hors de France,Sénateur,Les Républicains
Marie-Hélène Des Esgaulx,Gironde,Sénateur,Les Républicains
Françoise Descamps-Crosnier,Yvelines (08),Député,Parti socialiste
Chantal Deseyne,Eure-et-Loir ,Sénateur,Les Républicains
Sophie Dessus,Corrèze (1),Député,Parti socialiste
Catherine Di Folco,Rhône,Sénateur,Divers droite
Évelyne Didier,Meurthe-et-Moselle,Sénateur,Parti Communiste Français
Sophie Dion,Haute-Savoie (6),Député,Les Républicains
Élisabeth Doineau,Mayenne,Sénateur,UDI
Fanny Dombre Coste,Hérault (3),Député,Parti socialiste
Sandrine Doucet,Gironde (01),Député,Parti socialiste
Jeanine Dubié,Hautes-Pyrénées (2),Député,Parti Radical de Gauche
Marianne Dubois,Loiret (5),Député,Les Républicains
Françoise Dubois,Sarthe (1),Député,Parti socialiste
Virginie Duby-Muller,Haute-Savoie (4),Député,Les Républicains
Marie-Annick Duchêne,Yvelines,Sénateur,Sans étiquette
Cécile Duflot,Paris (06),Député,Europe Écologie Les Verts
Anne-Lise Dufour-Tonini,Nord (19),Député,Parti socialiste
Françoise Dumas,Gard (1),Député,Parti socialiste
Laurence Dumont,Calvados (2),Député,Parti socialiste
Nicole Duranton,Eure,Sénateur,Les Républicains
Josette Durrieu,Hautes-Pyrénées,Sénateur,Parti socialiste
Anne Émery-Dumas,Nièvre,Sénateur,Parti socialiste
Corinne Erhel,Côtes-d'Armor (5),Député,Parti socialiste
Sophie Errante,Loire-Atlantique (10),Député,Parti socialiste
Frédérique Espagnac,Pyrénées-Atlantiques,Sénateur,Parti socialiste
Dominique Estrosi Sassone,Alpes-Maritimes,Sénateur,Les Républicains
Marie-Hélène Fabre,Aude (2),Député,Parti socialiste
Martine Faure,Gironde (12),Député,Parti socialiste
