DÉNOMINATION DE LA FORMATION POLITIQUE,"LOCALISATION
du siège"
LA   GAUCHE   RÉFORMATRICE ,18000
LA     RELÈVE ,97441
LA RESTAURATION NATIONALE ,75018
LA VOLONTÉ DE VIVRE ENSEMBLE,68100
L’ACTION      ,97230
L’AVENIR ENSEMBLE (VIVRE À LUISANT) ,28600
LE 10e EN MOUVEMENT,75010
LE     CHÊNE ,64500
LE       MOUVEMENT,97400
LE MOUVEMENT DE LA DIVERSITÉ ,98802
LE   PARTI   GAULLISTE ,97430
LE TRÈFLE-LES NOUVEAUX ÉCOLOGISTES-HOMME NATURE ANIMAUX ,13006
LE    XII    SOLIDAIRE,75012
LES      ALTERNATIFS,75011
LES AMIS DE MAX-ANDRÉ PICK ,59100
LES AMIS DE RICHARD MALLIÉ ,13120
LES     PROGRESSISTES.FR,75020
L’EURE     D’AGIR ,27000
L’IDÉE     FRANÇAISE ,78600
LIGUE    COMMUNISTE    RÉVOLUTIONNAIRE ,93100
LIGUE DU SUD,84100
LUTTE    OUVRIÈRE ,93500
MAIZIÈRES      ENSEMBLE,57280
MASSY POUR VOUS,91300
MOUVEMENT CITOYEN DE LA RÉUNION ,97410
MOUVEMENT CITOYEN RÉGIONAL NORD - PAS-DE-CALAIS ,62300
MOUVEMENT       CLÉROCRATIQUE,26120
MOUVEMENT DE DÉCOLONISATION ET D’ÉMANCIPATION SOCIALE,97354
MOUVEMENT      DÉMOCRATE ,75007
MOUVEMENT    DÉMOCRATIE    ALSACIENNE,67300
MOUVEMENT     DÉPARTEMENTALISTE     MAHORAIS,97615
MOUVEMENT   DES   RÉFORMATEURS ,67130
MOUVEMENT    DES    SEINE-ET-MARNAIS ,77130
MOUVEMENT D’UNION DE GESTION COMMUNALE DE LA VILLE DE PLAN DE CUQUES,13380
MOUVEMENT    ÉCOLOGISTE    INDÉPENDANT ,2570
MOUVEMENT HOMMES-ANIMAUX-NATURE,6000
MOUVEMENT INDÉPENDANT POPULAIRE - MIP,92120
MOUVEMENT INDÉPENDANTISTE MARTINIQUAIS ,97200
MOUVEMENT LA RÉUNION AUTREMENT,97490
MOUVEMENT    LIBÉRAL    POPULAIRE,97200
MOUVEMENT NATIONAL RÉPUBLICAIN ,75015
MOUVEMENT POLITIQUE D’ÉDUCATION POPULAIRE ,91300
MOUVEMENT    POPULAIRE    FRANCISCAIN ,97240
MOUVEMENT POUR LA FRANCE ,75007
MOUVEMENT POUR UN RENOUVEAU POLITIQUE,67000
MOUVEMENT RÉPUBLICAIN ET CITOYEN,75012
MOUVEMENT SOCIAL ET LIBÉRAL DE NORMANDIE,76000
MOUVEMENT   UNITAIRE    PROGRESSISTE ,92800
NO OE E TE NUNA’A,98713
"NOFWAP, LA GUADELOUPE EN ACTION ",97110
NON À LA TURQUIE DANS L’EUROPE,75007
NOUVEAU    PARTI    ANTICAPITALISTE,93100
NOUVELLE    UNION    FRANÇAISE,88001
O PORINETIA TO TATOU AI’A,98713
OBJECTIF      GUADELOUPE,97100
OSONS LE DYNAMISME POUR LOUVECIENNES (DIT OSONS) ,78430
OSONS     MIDI-PYRÉNÉES ,82000
PALAISEAU À VENIR,91120
PARTI     ANTI-SIONISTE ,59760
PARTI     BLANC ,92100
PARTI      BONAPARTISTE,20000
PARTI     BRETON ,56104
PARTI    CHRÉTIEN-DÉMOCRATE ,75008
PARTI COMMUNISTE FRANÇAIS ,75940
PARTI    COMMUNISTE    GUADELOUPÉEN ,97169
PARTI COMMUNISTE MARTINIQUAIS,97200
PARTI COMMUNISTE RÉUNIONNAIS ,97420
PARTI   DE   GAUCHE ,75011
PARTI DE LA FRANCE,78860
PARTI   DE   LA   RÉSISTANCE,75020
PARTI DES INDIGÈNES DE LA RÉPUBLIQUE,92300
PARTI EUROPE DÉMOCRATIE ESPÉRANTO FRANCE ,75017
PARTI   LIBÉRAL   DÉMOCRATE ,75002
PARTI   NATIONAL   EUROPÉEN ,13777
PARTI   OUVRIER   INDÉPENDANT ,75010
PARTI POPULISTE - LA RELÈVE NATIONALE ,92400
PARTI POUR LA LIBÉRATION DE LA MARTINIQUE ,97200
PARTI   PROGRESSISTE   DÉMOCRATIQUE   GUADELOUPÉEN,97110
PARTI   PROGRESSISTE   MARTINIQUAIS ,97200
PARTI     RADICAL ,75001
PARTI RADICAL DE GAUCHE ,75007
PARTI     RÉPUBLICAIN ,75005
PARTI   RÉPUBLICAIN   CHRÉTIEN,83210
PARTI     SOCIALISTE ,75333
PARTI   SOCIALISTE   GUADELOUPÉEN ,97129
PARTI    SOCIALISTE    GUYANAIS ,97300
PARTI    SOCIALISTE    RÉUNIONNAIS ,97490
PARTICIPATION      CITOYENNE,69007
PARTICIPATION   ET   LIBERTÉ ,75009
PARTIT     OCCITAN ,11000
PARTITU DI A NAZIONE CORSA,20000
PORINETIA     ORA ,98716
POUR     L’AQUITAINE ,33000
POUR       MULHOUSE,68100
POUR     PARIS ,75012
POUR    PERTUIS    AUTREMENT,84120
PRIMAIRE.ORG,29000
PRIORITÉ   DÉMOCRATIE   EN   FRANCE,73600
RAISMES À VENIR ,59590
RASSEMBLEMENT DÉMOCRATIQUE POUR LA MARTINIQUE,97200
