DÉNOMINATION DE LA FORMATION POLITIQUE (1),"LOCALISATION
du siège"
ACTION    SAVOIE    PREMIÈRE ,Chambéry (73000)
AGIR AU QUOTIDIEN AVEC NICOLAS DUPONT-AIGNAN,Yerres (91330)
AGIR ENSEMBLE POUR LEVALLOIS ,Levallois-Perret (92300)
AGIR   POUR   DEMAIN ,Castres (81100)
AGIR    POUR    L’ÉGALITÉ,Paris (75009)
AI’A-API   « TERRE   NOUVELLE » ,Tahiti - Polynésie française (98709)
AIMER     ANGERS,Angers (49100)
ALLIANCE MÉDITERRANÉE-ALPES (LES AMIS DE CHRISTIAN ESTROSI) ,Nice (06000)
ALLIANCE POUR LA SOUVERAINETÉ DE LA FRANCE,Boulogne-Billancourt (92100)
ALLIANCE     ROYALE,Paris (75017)
ALTERNATIVE   2007 ,Paris (75015)
ALTERNATIVE DÉMOCRATIE SOCIALISME ,Limoges (87000)
ALTERNATIVE     LIBÉRALE ,Paris (75116)
ARCHIPEL     DEMAIN,Saint-Pierre-et-Miquelon (97500)
ARGENTEUIL    QUE    NOUS    AIMONS ,Argenteuil (95100)
ARIAS   94,Orly (94310)
ASSOCIATION    6e       UNION,Paris Cedex 06 (75265)
ASSOCIATION DE SOUTIEN À L’ACTION DE NICOLAS SARKOZY,Neuilly-sur-Seine (92200)
ASSOCIATION DÉMOCRATIE ET LIBERTÉ,Fleurance Cedex (32501)
ASSOCIATION DES CYBERMILITANTS DE LA DROITE ET DU CENTRE ,Paris (75015)
ASSOCIATION   DROITE   DE   FRANCE ,Paris (75002)
"ASSOCIATION MÛRS-ERIGNÉ, ENSEMBLE",Mûrs-Erigné (49610)
ASSOCIATION NATIONALE DES AMIS DE NICOLAS SARKOZY,Limoges (87000)
ASSOCIATION    PARIS    15,Paris (75015)
ASSOCIATION PARTI SOCIALISTE - PARTI RADICAL DE GAUCHE ET APPARENTÉS ,Paris (75007)
"ASSOCIATION POUR LA DÉMOCRATIE, L’ÉCOLOGIE ET LA SOLIDARITÉ",Grenoble (38000)
ASSOCIATION   POUR   LA   RÉFORME ,Paris (75015)
ASSOCIATION POUR L’AVENIR DE LA HAUTE SAINTONGE ET DE LA SAINTONGE ATLANTIQUE,Saint-Georges-de-Didonne (17110)
AUJOURD’HUI        AUTREMENT,Paris (75015)
AVEC VOUS POUR LE 18e ,Paris (75018)
AVENIR ,–
BÂTIR   LE   PAYS   MARTINIQUE ,Le Lamentin (97232)
BIEN VIVRE DANS LE DROUAIS ,Dreux (28100)
BOUGEONS-NOUS,Saint-Martin-d’Hères (38400)
BRÉTIGNY AUTREMENT : UNE GAUCHE PLURALISTE ,Le Plessis-Pâté (91220)
CAP   SUR   L’AVENIR ,Saint-Pierre-et-Miquelon (97500)
CAP SUR   L’AVENIR   13,Marseille (13005)
CENTRE   DROIT   LIBÉRAL ,Pertuis (84120)
CENTRE NATIONAL DES INDÉPENDANTS ET DES PAYSANS ,Paris (75008)
CHAMPIGNY   CAP   OUEST ,Champigny-sur-Marne (94500)
CHANGEONS         VILLEURBANNE,Villeurbanne (69100)
CHASSE PÊCHE NATURE ET TRADITIONS,Pau Cedex (64075)
CHÂTENAY-MALABRY    À    PLEINE    VIE,Châtenay-Malabry (92290)
CITOYENNETÉ ACTION PARTICIPATION POUR LE 21e SIÈCLE ,Paris (75008)
COMBAT    OUVRIER ,Fort-de-France (97200)
COMBAT   POUR   LES   VALEURS ,Paris (75006)
COMITÉ D’ACTION ET DE RÉFLEXION DÉPARTEMENTALE ,Neuilly-Plaisance (93360)
COMITÉ DE SOUTIEN À PATRICK BOBET ,Le Bouscat (33110)
COMITÉ DES CITOYENS MONTREUILLOIS,Montreuil-sous-Bois (93100)
COMITÉ    POUR    SAINT-MICHEL ,Saint-Michel-sur-Orge (91240)
COMMUNISTES     ,Paris (75014)
CONCORDAT    CITOYEN ,Le Raincy (93340)
CONDOM CITOYENNE - CONDOM AUTREMENT,Condom (32100)
CONFÉDÉRATION DES ÉCOLOGISTES INDÉPENDANTS ,Montpellier (34000)
CONVENTION    CITOYENNE ,Marseille (13001)
CONVENTION POUR LA RÉNOVATION DES INSTITUTIONS DE LA RÉPUBLIQUE ET DE L’ÉTAT ,Lyon (69005)
CONVENTION POUR UNE ALTERNATIVE PROGRESSISTE ,Paris (75010)
CONVERGENCES        CHAMPIGNY,Champigny-sur-Marne (94500)
CONVERGENCES-GILLES       CARREZ   ,Champigny-sur-Marne (94500)
COTELEC ,Saint-Cloud (92210)
COURAGE      RÉPUBLIQUE ,Boulogne-Billancourt (92100)
DEBOUT    LA    RÉPUBLIQUE,Yerres (91330)
DÉMOCRATIE     CHRÉTIENNE     FRANÇAISE ,Paris (75007)
DÉMOCRATIE ET RÉPUBLIQUE (ANCIENNEMENT METZ POUR TOUS),Metz (57000)
DES   VILLAGES   DANS   LA   VILLE ,Saint-Maur-des-Fossés (94100)
DÉSIRS    D’AVENIR ,Paris (75010)
DESSINONS L’AVENIR AVEC ALAIN GIRARD,Crosne (91560)
DIALOGUE   &   INITIATIVE ,Paris (75006)
DROIT   DE   CHASSE,Coudoux (13111)
DROITE    LIBÉRALE    CHRÉTIENNE ,Lyon (69002)
ÉNERGIE    FRANCE ,Paris (75008)
